"polProcessID","sourceTypeID","fuelTypeID","PM10PM25Ratio","PM10PM25RatioCV","minModelYearID","maxModelYearID"
10001,52,2,1.08696,0.02,1940,2060
10001,52,3,1.13043,0.0,1940,2060
10001,52,5,1.13043,0.0,1940,2060
10001,52,9,1.13043,0.0,1940,2060
10001,53,1,1.13043,0.0,1940,2060
10001,53,2,1.08696,0.02,1940,2060
10001,53,3,1.13043,0.0,1940,2060
10001,53,5,1.13043,0.0,1940,2060
10001,53,9,1.13043,0.0,1940,2060
10001,54,1,1.13043,0.0,1940,2060
10001,54,2,1.08696,0.02,1940,2060
10001,54,3,1.13043,0.0,1940,2060
10001,54,5,1.13043,0.0,1940,2060
10001,54,9,1.13043,0.0,1940,2060
10001,61,1,1.13043,0.0,1940,2060
10001,61,2,1.08696,0.02,1940,2060
10001,61,3,1.13043,0.0,1940,2060
10001,61,5,1.13043,0.0,1940,2060
10001,61,9,1.13043,0.0,1940,2060
10001,62,1,1.13043,0.0,1940,2060
10001,62,2,1.08696,0.02,1940,2060
10001,62,3,1.13043,0.0,1940,2060
10001,62,5,1.13043,0.0,1940,2060
10001,62,9,1.13043,0.0,1940,2060
10002,11,1,1.13043,0.0,1940,2060
10002,11,2,1.08696,0.02,1940,2060
10002,11,3,1.13043,0.0,1940,2060
10002,11,5,1.13043,0.0,1940,2060
10002,11,9,1.13043,0.0,1940,2060
10002,21,1,1.13043,0.0,1940,2060
10002,21,2,1.08696,0.02,1940,2060
10002,21,3,1.13043,0.0,1940,2060
10002,21,5,1.13043,0.0,1940,2060
10002,21,9,1.13043,0.0,1940,2060
10002,31,1,1.13043,0.0,1940,2060
10002,31,2,1.08696,0.02,1940,2060
10002,31,3,1.13043,0.0,1940,2060
10002,31,5,1.13043,0.0,1940,2060
10002,31,9,1.13043,0.0,1940,2060
10002,32,1,1.13043,0.0,1940,2060
10002,32,2,1.08696,0.02,1940,2060
10002,32,3,1.13043,0.0,1940,2060
10002,32,5,1.13043,0.0,1940,2060
10002,32,9,1.13043,0.0,1940,2060
10002,41,1,1.13043,0.0,1940,2060
10002,41,2,1.08696,0.02,1940,2060
10002,41,3,1.13043,0.0,1940,2060
10002,41,5,1.13043,0.0,1940,2060
10002,41,9,1.13043,0.0,1940,2060
10002,42,1,1.13043,0.0,1940,2060
10002,42,2,1.08696,0.02,1940,2060
10002,42,3,1.13043,0.0,1940,2060
10002,42,5,1.13043,0.0,1940,2060
10002,42,9,1.13043,0.0,1940,2060
10002,43,1,1.13043,0.0,1940,2060
10002,43,2,1.08696,0.02,1940,2060
10002,43,3,1.13043,0.0,1940,2060
10002,43,5,1.13043,0.0,1940,2060
10002,43,9,1.13043,0.0,1940,2060
10002,51,1,1.13043,0.0,1940,2060
10002,51,2,1.08696,0.02,1940,2060
10002,51,3,1.13043,0.0,1940,2060
10002,51,5,1.13043,0.0,1940,2060
10002,51,9,1.13043,0.0,1940,2060
10002,52,1,1.13043,0.0,1940,2060
10002,52,2,1.08696,0.02,1940,2060
10002,52,3,1.13043,0.0,1940,2060
10002,52,5,1.13043,0.0,1940,2060
10002,52,9,1.13043,0.0,1940,2060
10002,53,1,1.13043,0.0,1940,2060
10002,53,2,1.08696,0.02,1940,2060
10002,53,3,1.13043,0.0,1940,2060
10002,53,5,1.13043,0.0,1940,2060
10002,53,9,1.13043,0.0,1940,2060
10002,54,1,1.13043,0.0,1940,2060
10002,54,2,1.08696,0.02,1940,2060
10002,54,3,1.13043,0.0,1940,2060
10002,54,5,1.13043,0.0,1940,2060
10002,54,9,1.13043,0.0,1940,2060
10002,61,1,1.13043,0.0,1940,2060
10002,61,2,1.08696,0.02,1940,2060
10002,61,3,1.13043,0.0,1940,2060
10002,61,5,1.13043,0.0,1940,2060
10002,61,9,1.13043,0.0,1940,2060
10002,62,1,1.13043,0.0,1940,2060
10002,62,2,1.08696,0.02,1940,2060
10002,62,3,1.13043,0.0,1940,2060
10002,62,5,1.13043,0.0,1940,2060
10002,62,9,1.13043,0.0,1940,2060
10090,11,1,1.13043,0.0,1940,2060
10090,11,2,1.08696,0.02,1940,2060
10090,11,3,1.13043,0.0,1940,2060
10090,11,5,1.13043,0.0,1940,2060
10090,11,9,1.13043,0.0,1940,2060
10090,21,1,1.13043,0.0,1940,2060
10090,21,2,1.08696,0.02,1940,2060
10090,21,3,1.13043,0.0,1940,2060
10090,21,5,1.13043,0.0,1940,2060
10090,21,9,1.13043,0.0,1940,2060
10090,31,1,1.13043,0.0,1940,2060
10090,31,2,1.08696,0.02,1940,2060
10090,31,3,1.13043,0.0,1940,2060
10090,31,5,1.13043,0.0,1940,2060
10090,31,9,1.13043,0.0,1940,2060
10090,32,1,1.13043,0.0,1940,2060
10090,32,2,1.08696,0.02,1940,2060
10090,32,3,1.13043,0.0,1940,2060
10090,32,5,1.13043,0.0,1940,2060
10090,32,9,1.13043,0.0,1940,2060
10090,41,1,1.13043,0.0,1940,2060
10090,41,2,1.08696,0.02,1940,2060
10090,41,3,1.13043,0.0,1940,2060
10090,41,5,1.13043,0.0,1940,2060
10090,41,9,1.13043,0.0,1940,2060
10090,42,1,1.13043,0.0,1940,2060
10090,42,2,1.08696,0.02,1940,2060
10090,42,3,1.13043,0.0,1940,2060
10090,42,5,1.13043,0.0,1940,2060
10090,42,9,1.13043,0.0,1940,2060
10090,43,1,1.13043,0.0,1940,2060
10090,43,2,1.08696,0.02,1940,2060
10090,43,3,1.13043,0.0,1940,2060
10090,43,5,1.13043,0.0,1940,2060
10090,43,9,1.13043,0.0,1940,2060
10090,51,1,1.13043,0.0,1940,2060
10090,51,2,1.08696,0.02,1940,2060
10090,51,3,1.13043,0.0,1940,2060
10090,51,5,1.13043,0.0,1940,2060
10090,51,9,1.13043,0.0,1940,2060
10090,52,1,1.13043,0.0,1940,2060
10090,52,2,1.08696,0.02,1940,2060
10090,52,3,1.13043,0.0,1940,2060
10090,52,5,1.13043,0.0,1940,2060
10090,52,9,1.13043,0.0,1940,2060
10090,53,1,1.13043,0.0,1940,2060
10090,53,2,1.08696,0.02,1940,2060
10090,53,3,1.13043,0.0,1940,2060
10090,53,5,1.13043,0.0,1940,2060
10090,53,9,1.13043,0.0,1940,2060
10090,54,1,1.13043,0.0,1940,2060
10090,54,2,1.08696,0.02,1940,2060
10090,54,3,1.13043,0.0,1940,2060
10090,54,5,1.13043,0.0,1940,2060
10090,54,9,1.13043,0.0,1940,2060
10090,61,1,1.13043,0.0,1940,2060
10090,61,2,1.08696,0.02,1940,2060
10090,61,3,1.13043,0.0,1940,2060
10090,61,5,1.13043,0.0,1940,2060
10090,61,9,1.13043,0.0,1940,2060
10090,62,1,1.13043,0.0,1940,2060
10090,62,2,1.08696,0.02,1940,2060
10090,62,3,1.13043,0.0,1940,2060
