eGrid_region,Fuel,Pollutant,Emission_rate,Unit
RFCM,coal,PM25,0.11261272,lb/MWh
RFCW,coal,PM25,0.13758644,lb/MWh
RMPA,coal,PM25,0.04981576,lb/MWh
SPNO,coal,PM25,0.07844978,lb/MWh
SPSO,coal,PM25,0.08736954,lb/MWh
SRMV,coal,PM25,0.14341126,lb/MWh
SRMW,coal,PM25,0.08630731,lb/MWh
SRSO,coal,PM25,0.05707661,lb/MWh
SRTV,coal,PM25,0.09056663,lb/MWh
SRVC,coal,PM25,0.10474802,lb/MWh
AZNM,coal,VOC,0.027632032,lb/MWh
ERCT,coal,VOC,0.01102405,lb/MWh
FRCC,coal,VOC,0.021698745,lb/MWh
MROE,coal,VOC,0.033962981,lb/MWh
MROW,coal,VOC,0.031011204,lb/MWh
NEWE,coal,VOC,0.039863429,lb/MWh
NWPP,coal,VOC,0.03299518,lb/MWh
RFCE,coal,VOC,0.008695097,lb/MWh
RFCM,coal,VOC,0.021101281,lb/MWh
RFCW,coal,VOC,0.022748817,lb/MWh
RMPA,coal,VOC,0.020835315,lb/MWh
SPNO,coal,VOC,0.025908636,lb/MWh
SPSO,coal,VOC,0.033336593,lb/MWh
SRMV,coal,VOC,0.022089249,lb/MWh
SRMW,coal,VOC,0.030461036,lb/MWh
SRSO,coal,VOC,0.029511738,lb/MWh
SRTV,coal,VOC,0.025541487,lb/MWh
SRVC,coal,VOC,0.018332512,lb/MWh
AZNM,coal,NH3,0.009711509,lb/MWh
ERCT,coal,NH3,0.003068236,lb/MWh
FRCC,coal,NH3,0.008298017,lb/MWh
MROE,coal,NH3,0.005029022,lb/MWh
MROW,coal,NH3,0.014628934,lb/MWh
NEWE,coal,NH3,0.000464641,lb/MWh
NWPP,coal,NH3,0.012710243,lb/MWh
RFCE,coal,NH3,0.001959012,lb/MWh
RFCM,coal,NH3,0.001530582,lb/MWh
RFCW,coal,NH3,0.000870885,lb/MWh
RMPA,coal,NH3,0.007723801,lb/MWh
SPNO,coal,NH3,0.01004436,lb/MWh
SPSO,coal,NH3,0.014267604,lb/MWh
SRMV,coal,NH3,0.004630947,lb/MWh
SRMW,coal,NH3,0.003947632,lb/MWh
SRSO,coal,NH3,0.001870792,lb/MWh
SRTV,coal,NH3,0.007889216,lb/MWh
SRVC,coal,NH3,0.037224533,lb/MWh
AZNM,ng,PM25,0.04239054,lb/MWh
CAMX,ng,PM25,0.03454562,lb/MWh
ERCT,ng,PM25,0.0476462,lb/MWh
FRCC,ng,PM25,0.05715349,lb/MWh
MROE,ng,PM25,0.02232695,lb/MWh
MROW,ng,PM25,0.03104922,lb/MWh
NEWE,ng,PM25,0.02372479,lb/MWh
NWPP,ng,PM25,0.03754531,lb/MWh
NYCW,ng,PM25,0.10547009,lb/MWh
NYLI,ng,PM25,0.11325616,lb/MWh
NYUP,ng,PM25,0.04066902,lb/MWh
RFCE,ng,PM25,0.04670166,lb/MWh
RFCM,ng,PM25,0.04885697,lb/MWh
RFCW,ng,PM25,0.0427893,lb/MWh
RMPA,ng,PM25,0.0451358,lb/MWh
SPNO,ng,PM25,0.080048,lb/MWh
SPSO,ng,PM25,0.05829991,lb/MWh
SRMV,ng,PM25,0.06322224,lb/MWh
SRMW,ng,PM25,0.04426985,lb/MWh
SRSO,ng,PM25,0.05690185,lb/MWh
SRTV,ng,PM25,0.04884335,lb/MWh
SRVC,ng,PM25,0.06173674,lb/MWh
AZNM,ng,VOC,0.018708539,lb/MWh
CAMX,ng,VOC,0.010007401,lb/MWh
ERCT,ng,VOC,0.012121631,lb/MWh
FRCC,ng,VOC,0.011104569,lb/MWh
MROE,ng,VOC,0.018067314,lb/MWh
MROW,ng,VOC,0.027335467,lb/MWh
NEWE,ng,VOC,0.014559547,lb/MWh
NWPP,ng,VOC,0.016347493,lb/MWh
NYCW,ng,VOC,0.036667975,lb/MWh
NYLI,ng,VOC,0.067710959,lb/MWh
NYUP,ng,VOC,0.017618923,lb/MWh
RFCE,ng,VOC,0.012249707,lb/MWh
RFCM,ng,VOC,0.025251508,lb/MWh
RFCW,ng,VOC,0.010232701,lb/MWh
RMPA,ng,VOC,0.020919375,lb/MWh
SPNO,ng,VOC,0.02340408,lb/MWh
SPSO,ng,VOC,0.020305988,lb/MWh
SRMV,ng,VOC,0.020721072,lb/MWh
SRMW,ng,VOC,0.010331932,lb/MWh
SRSO,ng,VOC,0.018173666,lb/MWh
SRTV,ng,VOC,0.017288538,lb/MWh
SRVC,ng,VOC,0.021576908,lb/MWh
AZNM,ng,NH3,0.028474456,lb/MWh
CAMX,ng,NH3,0.027141712,lb/MWh
