"Year","Source","Fuel","ModelYr","NH3","Nox","Total_PM10","Total_PM25","Brake_PM10","Tire_PM10","Brake_PM25","Tire_PM25","SO2","VOC"
2024,21,5,2021,243.818929540634,410.193825968636,25.9174920753168,22.9274425888059,303.852954367508,117.302764707224,37.9822882380218,17.5948795524169,26.5684335352829,411.674742115225
2025,21,5,2021,236.24436205839,434.062724529331,30.4698353339056,26.9529585354472,294.413822035151,113.658070897668,36.8025965480694,17.0497035417079,25.7440941926682,432.188116004348
2026,21,5,2021,229.593169845057,420.274537600549,29.5927001295378,26.1772002460413,286.125009374601,110.459911494144,35.7691272537102,16.5681568380451,25.0189904905595,418.392252243342
2027,21,5,2021,270.513769932304,428.046378300741,32.630018996835,28.864325321345,278.235839110023,107.414341833519,34.7809100024534,16.1126143594643,24.325008234513,427.926521152505
2028,21,5,2021,262.922269157812,415.012020079061,31.6354371064955,27.9848180520355,270.429548827744,104.399187038273,33.8034777778105,15.6580075667094,23.6383770778464,414.545261123808
2029,21,5,2021,254.89567643224,423.063779162095,34.8536795783147,30.833252678865,262.178270385818,101.213330682955,32.7732003089186,15.1823051060071,22.9103232555877,416.749631505726
2030,21,5,2021,247.008429272993,408.779308699474,33.6770659994138,29.7904727809295,254.064582648502,98.0802056988954,31.7582359414043,14.7119003665611,22.1973601610333,402.26729142338
2031,21,5,2021,295.15525753615,442.415769762565,40.4668739559503,35.799479110746,245.722219969157,94.8637490137211,30.7179055337827,14.2299477975784,21.4651106176818,437.558455397383
2032,21,5,2021,285.252325744877,426.359048023782,38.9953114960059,34.4957358595801,237.480719316503,91.6788535921765,29.6853741700992,13.7534198698299,20.7430740045137,421.246996458409
2033,21,5,2021,275.291908234107,410.316941974673,37.5218467116986,33.1922759623096,229.183505702035,88.4786426263021,28.6474226894703,13.2741059382582,20.0122014710756,404.986018798201
2034,21,5,2021,265.238433749627,394.253535980608,36.0556080895624,31.8942679465641,220.818568126766,85.2469147669169,27.6000613828402,12.7895228113436,19.2746695372369,388.801493464846
2035,21,5,2021,255.169830332981,378.396552635932,34.5980348922798,30.6072926306972,212.434181703714,82.0115932146653,26.5509164320939,12.3003964698516,18.5405927547833,372.837557060989
2036,21,5,2021,245.794987132243,366.804674749996,45.8467158889373,40.5557749786108,204.632417384514,78.9971630841373,25.5771179456581,11.8529455446712,17.8523663220375,362.085159879076
2037,21,5,2021,236.753619975257,352.010773364482,43.9859910070517,38.9124797838175,197.101611436866,76.0879269115447,24.639083439324,11.4147860257366,17.1946577703654,347.013426232251
2038,21,5,2021,228.089558741402,337.80506026344,42.2044241063176,37.3323484773623,189.895079100931,73.3114958811106,23.7382642974774,10.9883789525077,16.558435971115,332.521920495915
2039,21,5,2021,220.004881844364,324.441194404205,40.5224787172094,35.8445207037018,183.158724095281,70.7077501145066,22.8983618921478,10.6126575073921,15.9714157001824,318.888369033872
2040,21,5,2021,212.428437468045,311.908039494704,38.9505969224647,34.457263526452,176.855018441465,68.2703151163352,22.1113634607302,10.2427903452238,15.4144304599637,306.081420670083
2041,21,5,2021,205.056151285894,301.205218861358,50.6864192067514,44.8371949087812,170.705588894438,65.9009861021048,21.333312256649,9.89409766054828,14.8771512130224,295.331305611022
2042,21,5,2021,197.960425686649,290.617974471132,48.7417313918372,43.1154801700071,164.807352138736,63.6280037329085,20.600919017342,9.53476374790815,14.3535105480913,284.748038483006
2043,21,5,2021,191.389009779788,279.93564655226,46.9187679194623,41.5192089985645,159.328780418193,61.5181945167296,19.9181871648596,9.22494302739546,13.8805998678599,273.900845405374
2044,21,5,2021,185.381828031138,270.212441825092,45.2935178563485,40.0478259876371,154.326145956637,59.5741890617474,19.2924157608701,8.93942339184296,13.4371428647017,264.027665670839
2045,21,5,2021,179.965468686121,261.526450876794,43.8107946615022,38.7669870016374,149.843286685574,57.8370008231976,18.7324203208202,8.68097573331297,13.041558451204,255.19657273792
2046,21,5,2021,175.181860521891,254.439201044555,42.5356224465091,37.6286087241447,145.847624643141,56.3056539611159,18.2358551920034,8.43163197049621,12.6866648486303,248.184106629234
2047,21,5,2021,171.340818116347,248.177222960301,41.4645138582848,36.6753176649919,142.683368235632,55.0847247550653,17.8473790723836,8.26898668579781,12.3765744321052,241.809565100304
2048,21,5,2021,168.406446073402,243.286166693576,40.6266968810861,35.9448912092754,140.228101656149,54.1543441103833,17.5458324709914,8.13846593417556,12.1858213046661,236.803105568592
2049,21,5,2021,166.515161381111,239.993167265913,40.0967014318706,35.4537382225901,138.666276690963,53.536389955286,17.3621919243592,8.01400354705312,12.0966091276273,233.366715942323
2050,21,5,2021,165.721350900309,238.232578277741,39.7488236252115,35.246705228797,137.949247057366,53.2768757705823,17.2599285992662,8.00617681097327,11.9984167383963,231.473976444088
2022,31,5,2021,306.052591425259,470.71767672782,32.178914556519,28.4659834306933,374.425687383236,137.508043192245,46.8032526727553,20.6262966585143,42.1747640201577,468.914550774211
2023,31,5,2021,298.60255814516,456.834624995283,31.368921035508,27.7493680325392,365.311074757897,134.160592635826,45.6637665864595,20.124351328107,41.1464917650745,455.265411832441
2024,31,5,2021,289.819609509164,440.19551106421,30.4743924353911,26.9581137522034,354.566372406681,130.214169534895,44.3205826236302,19.5321356987401,39.938121244475,439.494445942152
2025,31,5,2021,280.225404644123,539.788498712492,44.1792636370836,39.0816079293353,342.828855874472,125.903761615749,42.8536593797343,18.8853371955198,38.6178036255386,497.009729860498
2026,31,5,2021,271.583449982182,521.390143302235,42.799840997687,37.8617804866422,332.256112318717,122.02118886791,41.5320766728803,18.3032355946809,37.4259261038435,480.003375283827
2027,31,5,2021,318.903402036103,588.353346518665,44.897614754818,39.7173925118311,322.002702948404,118.255611932455,40.250429873066,17.737955370903,36.2685480440897,518.507713726298
2028,31,5,2021,308.71328323594,568.950401687541,43.4091878740257,38.4006048200239,311.713846606805,114.477016854734,38.9639650540729,17.1712867564324,35.1072368848655,501.215274865098
2029,31,5,2021,297.941181007411,596.206184200401,45.4798744716115,40.2325081666728,300.837415810006,110.483049847743,37.6047359530937,16.5724928632673,33.8790508315339,502.731662674653
2030,31,5,2021,287.321277347605,574.710646155771,43.8363504452427,38.7787816003089,290.113354200404,106.544171529638,36.2643838489809,15.9815480741185,32.670413565085,484.528043348688
2031,31,5,2021,341.468865116571,638.075660161182,48.3519977211195,42.7731509315483,279.074679242628,102.489889927204,34.8845056663144,15.37361155982,31.4263395605308,508.091031612615
2032,31,5,2021,328.152390831985,612.871114197209,46.4356027800345,41.0775144663868,268.190863646407,98.4931157575358,33.5237126301869,14.7736677692877,30.1997357563589,487.917200079489
2033,31,5,2021,314.846897380311,587.75671240213,44.5272792674677,39.3902376027,257.316705227951,94.5000601939935,32.1646588363524,14.1747404342369,28.9742230933902,467.838153870195
2034,31,5,2021,301.602366067563,562.763457043351,42.6360719506519,37.7173149030254,246.49263164184,90.5242070659188,30.8113796094662,13.5786360435319,27.7510234443905,447.926841284831
2035,31,5,2021,288.498742573292,538.231086396741,40.7759663181905,36.0717272628958,235.783543329279,86.5912055090564,29.4727046651836,12.9885961149002,26.5453943360155,428.373031764608
2036,31,5,2021,276.406721388322,521.342285772927,47.875822508256,42.3518764575287,225.900534673512,82.9620313869659,28.2377933553917,12.4441687953232,25.4302895682715,409.765189967357
2037,31,5,2021,265.004512435808,499.14488148803,45.8187308952304,40.5324512957998,216.581654874437,79.539489068812,27.0729202123789,11.930581995403,24.3789414229735,392.086259491574
2038,31,5,2021,254.331863501324,478.348942250339,43.8915018277986,38.8268301951092,207.85972088204,76.3365622365172,25.9820385038169,11.4502480611427,23.3950970634001,375.516576095057
2039,31,5,2021,244.739905156248,459.590103756447,42.1538791885516,37.2902600280298,200.020356614694,73.457292887546,25.0027579558581,11.0184659057191,22.5079304379514,360.577828005726
2040,31,5,2021,236.196388215975,442.858265587604,40.6006684615396,35.9158208912236,193.037148570289,70.8930907020499,24.129895536511,10.6338628192176,21.7206428209629,347.218313423237
2041,31,5,2021,228.35724671076,394.09255315209,47.1431659646559,41.7040801250042,186.631056480717,68.5397949220475,23.3292222155517,10.281028765513,20.9967762116436,324.413747665059
2042,31,5,2021,221.403850728147,382.723458251201,45.6182766097313,40.3549461884177,180.948165567632,66.4534553535493,22.618333448794,9.96772806993435,20.3554515198184,315.048027931289
2043,31,5,2021,215.684859882879,372.137509492323,44.3313962316467,39.2168400335665,176.274322717959,64.7362301480177,22.0347042225041,9.71051729875452,19.8270535843848,306.086994642141
2044,31,5,2021,211.363382607375,363.956068045482,43.3306612889358,38.3312874535494,172.74263253964,63.4401575668493,21.5922581888959,9.51659995052521,19.4279216476672,299.100131651925
2045,31,5,2021,208.468388911068,358.292684712636,42.6317165955539,37.7136230443948,170.376747517827,62.5716742744791,21.2976036624547,9.3860572748077,19.1594302903651,294.205308792273
2046,31,5,2021,207.046107753818,355.828820669566,42.2173634571854,37.345765441501,169.212780544209,62.1440271068378,21.1519522443851,9.32160406602567,19.0248398942857,292.042405569866
2047,31,5,2021,207.667012020128,356.157891433723,42.2297111238915,37.3576211114021,169.720627640175,62.3300102159525,21.2154482811956,9.34969877301885,19.0793323018318,292.051236279256
2048,31,5,2021,208.648276568611,357.133266067445,42.3195035594273,37.4372650508037,170.522289651418,62.6235589105193,21.3154147472758,9.3935081284082,19.1672400867492,292.598818902773
2049,31,5,2021,209.742991049022,358.24598251071,42.4241414669499,37.5295843461942,171.418600751623,62.9537245269793,21.4275931566683,9.44304527591112,19.2640589805569,293.235144705639
2050,31,5,2021,210.759868037857,359.149264826756,42.5001905703838,37.59781674572,172.248324167853,63.2590422272704,21.5311453382565,9.48889826100052,19.3548591988624,293.675922728399
2022,21,9,2021,0,0,0,0,320.206695822019,123.616291134484,40.0258087100706,18.54233286086,0,0
2023,21,9,2021,0,0,0,0,312.629712164002,120.691146033195,39.0787026071366,18.1035958158886,0,0
2024,21,9,2021,0,0,0,0,303.853547809426,117.30308037999,37.9816905966676,17.5953691447866,0,0
2025,21,9,2021,0,0,0,0,294.414048947259,113.659039291734,36.8017570978751,17.048786155664,0,0
2026,21,9,2021,0,0,0,0,286.126346083308,110.459549043138,35.7658147500567,16.5688259315715,0,0
2027,21,9,2021,0,0,0,0,278.238939906104,107.414587006656,34.7798664134022,16.1120956129638,0,0
2028,21,9,2021,0,0,0,0,270.432156919026,104.40075639757,33.8040343762392,15.660050780626,0,0
2029,21,9,2021,0,0,0,0,262.176910017171,101.21377569378,32.7721282178371,15.182050923997,0,0
2030,21,9,2021,0,0,0,0,254.064484634375,98.0819138170217,31.75805285598,14.712228890232,0,0
2031,21,9,2021,0,0,0,0,245.723312611597,94.8618410452236,30.7154071632113,14.2291699694432,0,0
2032,21,9,2021,0,0,0,0,237.480136625429,91.6795407320609,29.6850021230896,13.7518264241865,0,0
2033,21,9,2021,0,0,0,0,229.185413360438,88.4773000306523,28.6481799247442,13.2715819858401,0,0
2034,21,9,2021,0,0,0,0,220.818027436236,85.2470165296781,27.6022730451495,12.7870303672983,0,0
