Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Plant FIPS state code,Plant FIPS county code,Plant county name,Plant annual net generation (MWh)
MA,General Electric Aircraft Engines,10029,25,9,Essex,2296.00
DE,Energy Center Dover LLC,10030,10,1,Kent,120682.00
CA,"Calpine Gilroy Cogen, LP",10034,6,85,Santa Clara,100667.00
NH,Hillsborough Hosiery,10036,33,11,Hillsborough,4952.00
CA,Kaweah Delta District Hospital,10042,6,107,Tulare,19914.00
NJ,Logan Generating Plant,10043,34,15,Gloucester,565480.00
ID,Little Mac Project,10049,16,83,Twin Falls,4972.00
AR,Fourche Creek Wastewater,10050,5,119,Pulaski,4801.00
NC,Lockville Hydropower,10051,37,37,Chatham,0.00
CA,Fairhaven Power,10052,6,23,Humboldt,0.00
PA,General Electric Diesel Engine Plant,10058,42,85,Mercer,3463.00
NH,General Electric Great Falls Upper Hydro,10059,33,17,Strafford,
NJ,"Mars Wrigley Confectionery US, LLC",10061,34,41,WARREN,57751.00
FL,Miami Dade County Resource Recovery Fac,10062,12,86,Miami Dade,300222.00
CT,Derby Hydro,10063,9,1,Fairfield,31545.00
ME,Lockwood Hydroelectric Facility,10066,23,11,Kennebec,19869.00
CO,Foothills Hydro Plant,10070,8,35,Douglas,5208.00
TX,Engineered Carbons Borger Cogen,10072,48,233,Hutchinson,77096.00
MN,Taconite Harbor Energy Center,10075,27,31,Cook,0.00
CO,Strontia Springs Hydro Plant,10081,8,35,Douglas,7622.00
CA,Total Energy Facilities,10091,6,37,Los Angeles,162655.00
HI,Tesoro Hawaii,10093,15,3,Honolulu,154152.00
NJ,Pedricktown Cogeneration Plant,10099,34,33,Salem,42915.00
NH,Hampton Facility,10108,33,15,Rockingham,29005.00
NH,Stevens Mills Dam,10109,33,13,Merrimack,6903.00
CA,Frito-Lay Cogen Plant,10110,6,29,Kern,21358.00
PA,Gilberton Power Company,10113,42,107,Schuylkill,583476.00
CA,Grossmont Hospital,10115,6,73,San Diego,29077.00
NY,Hampshire Paper,10116,36,89,St Lawrence,8978.00
PA,Harrisburg Facility,10118,42,43,Dauphin,112433.00
GA,PInova Inc,10120,13,127,Glynn,25558.00
GA,High Shoals Hydro (GA),10121,13,211,Morgan,0.00
NJ,CIP II/AR Bridgewater Holdings - NJCOE,10122,34,35,Somerset,25481.00
NJ,Hoffmann LaRoche,10123,34,13,Essex,50223.00
NY,Hollow Dam Power Partnership,10124,36,89,St Lawrence,2560.00
CA,Gosselin Hydro Plant,10128,6,105,Trinity,4317.00
PA,Indiana University of Pennsylvania,10129,42,63,Indiana,19923.00
VT,Deweys Mill,10137,50,27,Windsor,533.00
MT,South Dry Creek Hydro,10138,30,9,Carbon,2781.00
CA,Isabella Hydro Project,10139,6,29,Kern,3311.00
ID,Birch Creek Power,10140,16,33,Clark,12336.00
PA,Colver Green Energy,10143,42,21,Cambria,643626.00
CA,Sierra Pacific Lincoln Facility,10144,6,61,Placer,92646.00
MI,Decorative Panels Intl,10149,26,7,Alpena,35229.00
WV,Grant Town Power Plant,10151,54,49,Marion,631409.00
PA,Warrior Ridge Hydro,10152,42,61,Huntingdon,724.00
VA,Brasfield,10155,51,41,Chesterfield,9551.00
CA,"Fresno Cogeneration Partners, LP",10156,6,19,Fresno,9258.00
CA,Whitewater Hydro Plant,10162,6,65,Riverside,309.00
TX,Seadrift Coke LP,10167,48,57,Calhoun,50307.00
CA,Carson Cogeneration Company,10169,6,37,Los Angeles,15775.00
SC,Cherokee Falls,10173,45,21,CHEROKEE,3094.00
CA,Childrens Hospital,10175,6,73,San Diego,26257.00
MA,MBTA South Boston Power Facility,10176,25,25,Suffolk,379.00
CO,Metro Wastewater Reclamation District,10180,8,31,Denver,36629.00
NC,Metropolitan Sewerage District,10181,37,21,Buncombe,8178.00
NH,Mine Falls Generating Station,10183,33,11,Hillsborough,15618.00
TX,Central Utility Plant,10184,48,453,Travis,0.00
ME,Anson Abenaki Hydros,10186,23,25,Somerset,91326.00
FL,Cutrale Citrus Juices USA II,10188,12,105,Polk,41990.00
NY,"Castleton Power, LLC",10190,36,83,Rensselaer,145326.00
CA,Tehachapi Wind Resource I,10191,6,29,Kern,15163.00
HI,Hawaii Cogen,10194,15,3,Honolulu,1938.00
MS,CF Industries Yazoo City Complex,10195,28,163,Yazoo,151622.00
NY,Moose River,10196,36,49,Lewis,55991.00
NY,Philadlephia,10197,36,45,Jefferson,5633.00
LA,Mosaic Phosphates Uncle Sam,10198,22,93,St James,-79891.00
FL,Fernandina Beach Mill,10202,12,89,Nassau,636108.00
FL,Mosaic Co Tampa Facility,10204,12,57,Hillsborough,196780.00
CA,Loma Linda University Cogen,10206,6,71,San Bernardino,65549.00
MI,Escanaba Mill,10208,26,41,Delta,489865.00
CA,El Segundo Cogen,10213,6,37,Los Angeles,1055859.00
NY,Lower Saranac Hydroelectric Facility,10214,36,19,Clinton,22055.00
UT,Snowbird Power Plant,10215,49,35,Salt Lake,5454.00
AL,Alabama River Pulp,10216,1,99,Monroe,324410.00
NY,Warrensburg Hydroelectric,10218,36,113,Warren,12198.00
NY,Middle Falls Hydro,10219,36,115,Washington,14682.00
NY,Sissonville Hydro,10220,36,89,St Lawrence,13267.00
NY,New York State Dam Hydro,10221,36,91,Saratoga,52602.00
CA,Tulare Success Power Project,10222,6,107,Tulare,0.00
NJ,Merck Rahway Power Plant,10224,34,39,Union,43133.00
MS,Leaf River Cellulose LLC,10233,28,111,Perry,436476.00
WI,Biron Mill,10234,55,141,Wood,217119.00
NY,Diana Hydroelectric,10237,36,49,Lewis,6074.00
NY,Dolgeville Hydro,10238,36,43,Herkimer,12049.00
TX,Ticona Polymers Inc,10243,48,355,Nueces,231264.00
OH,Pixelle Specialty Solutions LLC,10244,39,141,Ross,348550.00
IN,ArcelorMittal Burns Harbor,10245,18,127,Porter,939207.00
FL,Bay County Waste to Energy,10250,12,5,Bay,864.00
TN,Domtar Kingsport Mill,10252,47,163,Sullivan,0.00
CA,Haypress,10253,6,91,Sierra,1465.00
ME,West Enfield Hydro,10255,23,19,Penobscot,83945.00
NC,Haw River Hydro,10258,37,1,Alamance,5380.00
TX,Enterprise Products Operating,10261,48,71,Chambers,109292.00
CA,California Institute of Technology,10262,6,37,Los Angeles,82603.00
FL,Florida's Natural Growers,10275,12,105,Polk,58741.00
NH,Clement Dam Hydro LLC,10276,33,1,Belknap,8793.00
KS,Kansas River Project,10279,20,45,Douglas,29947.00
SC,Central Plant,10280,45,45,GREENVILLE,0.00
CA,Big Creek Water Works,10282,6,105,Trinity,4203.00
PA,Townsend Hydro,10285,42,7,Beaver,18362.00
NY,Cornell Hydro,10286,36,109,Tompkins,7950.00
NV,Beowawe,10287,32,15,Lander,98535.00
CA,Big Valley Power LLC,10288,6,35,Lassen,
NH,Bridgewater Power LP,10290,33,9,Grafton,117308.00
CA,King City Power Plant,10294,6,53,Monterey,84081.00
ID,South Forks Hydro,10296,16,83,Twin Falls,26273.00
TX,Air Liquide Bayport Complex,10298,48,201,Harris,2134372.00
CA,Desert View Power,10300,6,65,Riverside,308328.00
LA,Louisiana Sugar Refining,10301,22,93,St James,17270.00
PA,Juniata Locomotive Shop,10302,42,13,Blair,0.00
NY,Dutchess Cnty Resource Recovery Facility,10305,36,27,Dutchess,40309.00
MA,Bellingham,10307,25,21,Norfolk,131074.00
NJ,Sayreville Power LP,10308,34,23,Middlesex,739864.00
LA,Geismar,10319,22,5,Ascension,562375.00
OR,Copper Dam Plant,10323,41,27,Hood River,14693.00
OR,Peters Drive Plant,10324,41,27,Hood River,7191.00
ID,Mink Creek Hydro,10325,16,41,Franklin,5630.00
MI,T B Simon Power Plant,10328,26,65,Ingham,292279.00
HI,H Power,10334,15,3,Honolulu,363857.00
NM,Southside Water Reclamation Plant,10339,35,1,Bernalillo,20251.00
CA,Marathon Bay Area Cogen,10342,6,13,Contra Costa,519934.00
PA,Mt. Carmel Cogeneration,10343,42,97,Northumberland,2072.00
MI,Hillman Power LLC,10346,26,119,Montmorency,6477.00
CA,Yuba City Energy Center,10349,6,101,Sutter,116969.00
ME,ReEnergy Livermore Falls,10354,23,1,Androscoggin,293803.00
WI,Consumer Operations LLC,10360,55,9,Brown,217075.00
GA,Savannah River Mill,10361,13,103,Effingham,148477.00
OK,Georgia-Pacific Muskogee LLC,10362,40,101,Muskogee,386447.00
NC,CPI USA North Carolina Southport,10378,37,19,Brunswick,58823.00
NC,CPI USA North Carolina Roxboro,10379,37,145,Person,57125.00
NC,NC Renewable Power - Lumberton LLC,10382,37,155,Robeson,0.00
CA,Sycamore Energy LLC,10387,6,73,San Diego,24250.00
IN,Indiana Harbor West,10397,18,89,Lake,225367.00
OH,Arcelormittal Cleveland Inc,10398,39,35,Cuyahoga,149946.00
CA,Kingsburg Cogen Facility,10405,6,19,Fresno,11594.00
MA,Clark University,10408,25,27,Worcester,8280.00
HI,Kalaheo Hydro,10412,15,7,Kauai,5002.00
HI,Wainiha Hydro,10413,15,7,Kauai,20588.00
FL,Pensacola Florida Plant,10416,12,33,Escambia,687613.00
MA,Indian Orchard Plant 1,10417,25,13,Hampden,18557.00
TX,Ascend Performance Materials Texas Inc.,10418,48,39,Brazoria,222544.00
CO,Dillon Hydro Plant,10421,8,117,Summit,10724.00
CO,Williams Fork Hydro Plant,10422,8,49,Grand,8850.00
CO,North Fork Hydro Plant,10423,8,93,Park,16.00
CO,Gross Hydro Plant,10424,8,59,Jefferson,11707.00
TX,International Paper - Orange,10425,48,361,Orange,265890.00
GA,Inland Paperboard Packaging Rome,10426,13,115,Floyd,424881.00
CA,New-Indy Ontario Mill,10427,6,71,San Bernardino,248417.00
MO,Anheuser-Busch St Louis,10430,29,510,St Louis City,43681.00
FL,Anheuser-Busch Jacksonville,10431,12,31,Duval,74466.00
FL,Mosaic New Wales Operations,10434,12,105,Polk,376820.00
NJ,Camden Resource Recovery Facility,10435,34,7,Camden,165476.00
TX,ExxonMobil Baytown Refinery,10436,48,201,Harris,1203234.00
CA,Sunray 2,10437,6,71,San Bernardino,58303.00
CA,Sunray 3,10438,6,71,San Bernardino,33737.00
CA,SEGS III,10439,6,71,San Bernardino,0.00
CA,SEGS IV,10440,6,71,San Bernardino,0.00
CA,SEGS V,10441,6,71,San Bernardino,0.00
CA,SEGS VI,10442,6,71,San Bernardino,0.00
CA,SEGS VII,10443,6,71,San Bernardino,0.00
CA,"Lockhart Solar PV, LLC",10444,6,71,San Bernardino,81699.00
CA,SEGS IX,10446,6,71,San Bernardino,116280.00
WI,LAC Courte Oreilles Hydroelect,10453,55,113,Sawyer,7110.00
CA,Muck Valley Hydroelectric,10458,6,35,Lassen,10025.00
NY,"Black River Generation, LLC",10464,36,45,Jefferson,296791.00
NY,Fourth Branch Hydroelectric Facility,10467,36,91,Saratoga,15159.00
CA,Puente Hills Energy Recovery,10472,6,37,Los Angeles,194232.00
IN,Expander Turbine,10475,18,89,Lake,34691.00
WI,Wisconsin Rapids Pulp Mill,10477,55,141,Wood,0.00
CA,Mammoth G3,10479,6,51,Mono,102896.00
CA,Mammoth G1,10480,6,51,Mono,59191.00
CA,Mammoth G2,10481,6,51,Mono,71109.00
MN,Boise Cascade International Falls,10486,27,71,Koochiching,317133.00
MN,International Falls Power,10487,27,71,Koochiching,38065.00
LA,DeRidder Mill,10488,22,11,Beauregard,376051.00
NY,Upper Beaver Falls Project,10490,36,49,Lewis,7768.00
ME,Mead Rumford Cogen,10491,23,17,Oxford,0.00
ME,Rumford Falls Hydro Facility,10493,23,17,Oxford,208971.00
VT,Sheldon Springs Hydroelectric,10494,50,11,Franklin,38904.00
ME,Rumford Cogeneration,10495,23,17,Oxford,383725.00
CA,Kern River Cogeneration,10496,6,29,Kern,206481.00
CA,Mid-Set Cogeneration,10501,6,29,Kern,0.00
NY,Wheelabrator Hudson Falls,10503,36,115,Washington,64480.00
ID,Amalgamated Sugar Twin Falls,10504,16,83,Twin Falls,37797.00
NY,Finch Paper,10511,36,113,Warren,117607.00
NH,Milton Hydro,10519,33,17,Strafford,5715.00
IL,Dayton Hydro,10520,17,99,LaSalle,10588.00
NY,Lederle Laboratories,10521,36,87,Rockland,129443.00
ME,Benton Falls Associates,10523,23,11,Kennebec,14209.00
NC,Craven County Wood Energy,10525,37,49,Craven,314183.00
NH,Dodge Falls Associates,10526,33,9,Grafton,14275.00
NY,Feeder Dam Hydro Plant,10530,36,91,Saratoga,22874.00
NY,Beebee Island Hydro Plant,10531,36,45,Jefferson,47079.00
MI,Grand River,10532,26,37,Clinton,7120.00
NY,Dexter Plant,10538,36,45,Jefferson,15010.00
NY,Theresa Plant,10539,36,45,Jefferson,4743.00
NY,Diamond Island Plant,10540,36,45,Jefferson,3926.00
NY,Hailesboro 4 Plant,10544,36,89,St Lawrence,10056.00
NY,Copenhagen Plant,10545,36,49,Lewis,8501.00
PA,Beaver Valley Patterson Dam,10546,42,7,Beaver,5384.00
NY,Pyrites Plant,10547,36,89,St Lawrence,21221.00
CA,San Jose Cogeneration,10548,6,85,Santa Clara,25670.00
NY,Al Turi,10549,36,71,Orange,0.00
NC,High Shoals Hydro (NC),10550,37,109,Lincoln,4408.00
MA,Anderson Power Products Division,10553,25,27,Worcester,0.00
TX,Formosa Utility Venture Ltd,10554,48,57,Calhoun,3307759.00
ME,Brassua Hydroelectric Project,10555,23,25,Somerset,9593.00
MA,Boott Hydropower,10556,25,17,Middlesex,75881.00
GA,Jesup Plant,10560,13,305,Wayne,464190.00
FL,Fernandina Plant,10562,12,89,Nassau,236956.00
NJ,Carneys Point,10566,34,33,Salem,473773.00
CT,"Algonquin Power Windsor Locks, LLC",10567,9,3,Hartford,134739.00
TX,Port Arthur Texas Refinery,10568,48,245,Jefferson,230008.00
NH,Errol Hydroelectric Project,10570,33,7,Coos,9796.00
CA,Cameron Ridge LLC,10586,6,29,Kern,171680.00
LA,Agrilectric Power Partners Ltd,10593,22,19,Calcasieu,84139.00
CA,Ridgetop Energy LLC,10597,6,29,Kern,42510.00
CA,Tesoro Wilmington Calciner,10601,6,37,Los Angeles,204189.00
PA,Ebensburg Power Company,10603,42,21,Cambria,231799.00
GA,Brunswick Cellulose,10605,13,127,Glynn,408862.00
AR,Georgia-Pacific Crossett LLC,10606,5,3,Ashley,51756.00
VT,Gilman Mill,10608,50,9,Essex,19356.00
MS,Georgia-Pacific Monticello Paper,10610,28,77,Lawrence,442213.00
FL,Georgia-Pacific Palatka Operations,10611,12,107,Putnam,358583.00
LA,Georgia-Pacific Port Hudson,10612,22,33,East Baton Rouge,204820.00
ME,"Woodland Pulp, LLC",10613,23,29,Washington,340301.00
NY,"Beaver Falls, LLC",10617,36,49,Lewis,4231.00
NY,Allegany Station No. 133,10619,36,3,Allegany,14990.00
NY,Carthage Energy,10620,36,45,Jefferson,4920.00
NY,"Syracuse, LLC",10621,36,67,Onondaga,12362.00
CA,Civic Center,10623,6,37,Los Angeles,0.00
AR,Pine Bluff Mill,10627,5,69,Jefferson,312716.00
MD,Wheelabrator Baltimore Refuse,10629,24,510,Baltimore City,337277.00
CA,CE Leathers,10631,6,25,Imperial,338975.00
CA,Del Ranch Company,10632,6,25,Imperial,278273.00
VA,Hopewell Cogeneration Facility,10633,51,149,Prince George,959580.00
CA,Elmore Company,10634,6,25,Imperial,372382.00
NY,Covanta Hempstead,10642,36,59,Nassau,584496.00
NJ,Covanta Essex Company,10643,34,13,Essex,487198.00
CT,Covanta Southeastern Connecticut Company,10646,9,11,New London,122423.00
CA,Bear Mountain Limited,10649,6,29,Kern,53042.00
CA,Badger Creek Limited,10650,6,29,Kern,22196.00
CA,Burney Forest Products,10652,6,89,Shasta,198545.00
MI,French Paper Hydro,10656,26,21,Berrien,6037.00
CA,Collins Pine Project,10661,6,63,Plumas,1845.00
OK,River Valley,10671,40,79,Le Flore,1030739.00
HI,AES Hawaii,10673,15,3,Honolulu,1107052.00
CA,CES Placerita Power Plant,10677,6,37,Los Angeles,
MD,AES Warrior Run,10678,24,1,Allegany,1251759.00
CO,Brush Power Projects,10682,8,87,Morgan,141577.00
CA,Argus Cogen Plant,10684,6,71,San Bernardino,304525.00
CA,Westend Facility,10685,6,71,San Bernardino,
MN,Rapids Energy Center,10686,27,61,Itasca,46434.00
NY,Black River Hydro Associates,10687,36,49,Lewis,15515.00
LA,ExxonMobil Baton Rouge Turbine Generator,10690,22,33,East Baton Rouge,651507.00
TX,ExxonMobil Baytown Turbine,10692,48,201,Harris,2439764.00
MD,Eastern Correctional Institute,10693,24,39,Somerset,8632.00
MA,Pepperell Hydro Power Plant,10694,25,17,Middlesex,6864.00
LA,St Francisville Mill,10697,22,125,West Feliciana,113853.00
MI,"Graphic Packaging International, Inc.",10698,26,77,Kalamazoo,
AL,Georgia-Pacific Consr Prods LP-Naheola,10699,1,23,Choctaw,400424.00
ME,Red Shield Envir Old Town Facility,10700,23,19,Penobscot,73731.00
CA,Burney Creek,10706,6,89,Shasta,453.00
CA,Cove Hydroelectric,10707,6,89,Shasta,2565.00
CA,Lost Creek I,10708,6,89,Shasta,5553.00
CA,Ponderosa Bailey Creek,10709,6,103,Tehama,114.00
CA,Karen Avenue Wind Farm,10718,6,65,Riverside,30500.00
CA,Kyocera America Project,10720,6,73,San Diego,10497.00
NY,Selkirk Cogen Partners,10725,36,1,Albany,
MA,MASSPOWER,10726,25,13,Hampden,256254.00
ME,Barker Lower,10728,23,1,Androscoggin,4487.00
ID,Barber Dam,10735,16,1,Ada,4064.00
OR,Sprague Hydro,10737,41,35,Klamath,822.00
ID,Magic Dam Hydroelectric Project,10740,16,13,Blaine,0.00
WV,Morgantown Energy Facility,10743,54,61,Monongalia,
MI,Midland Cogeneration Venture,10745,26,111,Midland,6298309.00
PA,Covanta Delaware Valley,10746,42,45,Delaware,589304.00
CA,Marina Landfill Gas,10748,6,53,Monterey,34859.00
NJ,"Camden Plant Holding, LLC",10751,34,7,Camden,76318.00
NY,Lachute Hydro Lower,10752,36,31,Essex,17743.00
NY,Lachute Hydro Upper,10753,36,31,Essex,17742.00
CO,Rifle Generating Station,10755,8,45,Garfield,19731.00
CA,Salton Sea Power Gen Co - Unit 3,10759,6,25,Imperial,249770.00
NV,Las Vegas Generating Station,10761,32,3,Clark,327973.00
CA,Ormesa III,10763,6,25,Imperial,74056.00
CA,Blue Lake Power LLC,10764,6,23,Humboldt,0.00
ME,Indeck Jonesboro Energy Center,10765,23,29,Washington,28069.00
ME,Indeck West Enfield Energy Center,10766,23,19,Penobscot,39861.00
CA,Rio Bravo Fresno,10767,6,19,Fresno,145728.00
VA,Hopewell Power Station,10771,51,670,Hopewell City,276498.00
CA,Rio Bravo Rocklin,10772,6,61,Placer,165547.00
VA,Altavista Power Station,10773,51,31,Campbell,322809.00
VA,Southampton Power Station,10774,51,175,Southampton,318779.00
CA,E. F. Oxnard Energy Facility,10776,6,111,Ventura,2062.00
CA,HL Power,10777,6,35,Lassen,186686.00
ID,Koyle Ranch Hydroelectric Project,10781,16,47,Gooding,2936.00
MT,Colstrip Energy Limited Partnership,10784,30,87,Rosebud,322000.00
SC,Piedmont Hydro Power Project,10787,45,45,Greenville,3066.00
TX,Victoria Texas Plant,10790,48,469,Victoria,512057.00
SC,Camden South Carolina,10795,45,55,Kershaw,0.00
VA,Fries Hydroelectric Project,10798,51,77,Grayson,17907.00
SC,Pelzer Upper,10799,45,7,Anderson,4013.00
SC,Pelzer Lower,10800,45,7,Anderson,6690.00
SC,Ware Shoals Hydro Project,10801,45,59,Laurens,7340.00
NY,AG - Energy,10803,36,89,St Lawrence,
NJ,"E F Kenilworth, Inc.",10805,34,39,Union,147229.00
ID,Crystal Springs,10806,16,83,Twin Falls,9442.00
ID,Dietrich Drop,10807,16,63,Lincoln,14224.00
ID,Low Line Rapids,10808,16,83,Twin Falls,3065.00
ID,Rock Creek II,10809,16,83,Twin Falls,2346.00
NY,Port Leyden Hydroelectric Project,10817,36,49,Lewis,4991.00
MI,Ada Cogeneration LP,10819,26,81,Kent,193485.00
MI,Grayling Generating Station,10822,26,39,Crawford,203861.00
MA,Deer Island Treatment,10823,25,25,Suffolk,37345.00
MA,Oakdale Power Station,10824,25,27,Worcester,11723.00
MA,Cosgrove Intake and Power Station,10825,25,27,Worcester,4606.00
CA,Woodland Biomass Power Ltd,10836,6,113,Yolo,33526.00
CA,Covanta Mendota,10837,6,19,Fresno,
NH,"Stored Solar Springfield, LLC",10838,33,19,Sullivan,21026.00
NH,"Stored Solar Whitefield, LLC",10839,33,7,Coos,52368.00
CA,Covanta Delano Energy,10840,6,29,Kern,0.00
NY,Walden,10848,36,71,Orange,3204.00
MN,Northshore Mining Silver Bay Power,10849,27,75,Lake,0.00
NY,Center Falls,10853,36,115,Washington,1133.00
IA,Cargill Corn Milling Division,10855,19,135,Monroe,111765.00
IA,Archer Daniels Midland Clinton,10860,19,45,Clinton,734505.00
IA,Archer Daniels Midland Des Moines,10861,19,153,Polk,21312.00
NE,Archer Daniels Midland Lincoln,10862,31,109,Lancaster,29352.00
MN,Archer Daniels Midland Mankato,10863,27,13,Blue Earth,21156.00
IA,Archer Daniels Midland Cedar Rapids,10864,19,113,Linn,941677.00
IL,Archer Daniels Midland Co.,10865,17,115,Macon,1085111.00
IL,"BioUrja Renewables - Peoria, IL",10866,17,143,Peoria,50554.00
IL,Tate & Lyle,10867,17,115,Macon,327541.00
OR,Biomass One LP,10869,41,29,Jackson,193300.00
PA,Hazleton Generation,10870,42,79,Luzerne,39499.00
NY,Kings Falls Hydroelectric,10872,36,49,Lewis,1808.00
CA,Coso Finance Partners,10873,6,27,Inyo,454163.00
CA,Coso Power Developers,10874,6,27,Inyo,364493.00
CA,Coso Energy Developers,10875,6,27,Inyo,308113.00
CA,Salton Sea Power Gen Co Unit 1,10878,6,25,Imperial,69061.00
CA,Salton Sea Power Gen Co - Unit 2,10879,6,25,Imperial,77296.00
CA,Bidwell Ditch Project,10880,6,89,Shasta,11343.00
CA,Roaring Creek Water Power,10881,6,89,Shasta,1269.00
CA,Hatchet Creek Project,10882,6,89,Shasta,3077.00
MA,Medical Area Total Energy Plant,10883,25,25,Suffolk,319355.00
CA,Olive View Medical Center,10884,6,37,Los Angeles,9184.00
NY,Victory Mills,10902,36,11,Cayuga,7449.00
IL,Lockport Powerhouse,10903,17,197,Will,32470.00
MA,Pittsfield Generating,50002,25,3,Berkshire,63751.00
CA,Chalk Cliff Limited,50003,6,29,Kern,17975.00
NJ,Linden Cogeneration Facility,50006,34,39,Union,5620205.00
WV,Glen Ferris Hydro,50010,54,19,Fayette,17899.00
WV,Hawks Nest Hydro,50011,54,19,Fayette,498329.00
TX,Corpus Refinery,50026,48,355,Nueces,278542.00
LA,Plant 31 Paper Mill,50028,22,73,Ouachita,546072.00
LA,Nelson Industrial Steam Company,50030,22,19,Calcasieu,2862058.00
NY,Mt Ida Hydroelectric,50031,36,83,Rensselaer,9124.00
NY,Valley Falls Hydroelectric Facility,50034,36,83,Rensselaer,9089.00
ME,MMWAC Resource Recovery Facility,50035,23,1,Androscoggin,14299.00
WV,New Martinsville Hannibal Hydro,50036,54,103,Wetzel,228487.00
CA,Rio Bravo Hydro Project,50037,6,29,Kern,3601.00
MA,Norton Powerhouse,50041,25,27,Worcester,29997.00
TX,Houston Chemical Complex Battleground,50043,48,201,Harris,1770090.00
ME,International Paper Jay Hydro,50047,23,7,Franklin,17405.00
CA,Humboldt Sawmill Company,50049,6,23,Humboldt,126629.00
ME,Penobscot Energy Recovery,50051,23,19,Penobscot,44958.00
TX,Rice University,50054,48,201,Harris,20575.00
MD,Brown Station Road Plant I,50060,24,33,Prince Georges,
CA,San Diego State University,50061,6,73,San Diego,59007.00
CA,Univ of Calif Santa Cruz Cogeneration,50064,6,87,Santa Cruz,30258.00
CA,Calistoga Power Plant,50066,6,33,Lake,432941.00
TX,Borger Plant,50067,48,233,Hutchinson,-1867.00
FL,Palm Beach Renewable Energy Facility 1,50071,12,99,Palm Beach,346757.00
CA,Santa Felicia Dam,50076,6,111,Ventura,0.00
NY,Goodyear Lake Plant,50079,36,77,Otsego,0.00
ME,Otis Hydro,50080,23,7,Franklin,40820.00
ME,International Paper Riley Hydro,50081,23,7,Franklin,25129.00
ME,International Paper Livermore Hydro,50082,23,1,Androscoggin,34079.00
MA,Univ of Massachusetts Medical Center,50087,25,27,Worcester,66085.00
IA,University of Northern Iowa,50088,19,13,Black Hawk,15829.00
CA,Univ of San Francisco Cogen,50089,6,75,San Francisco,3450.00
WA,Sheep Creek Hydro,50091,53,65,Stevens,7411.00
NY,Chateaugay High Falls Hydro,50093,36,33,Franklin,2700.00
NJ,"Vicinity Energy Trenton, L.P.",50094,34,21,Mercer,52.00
ID,Tamarack Energy Partnership,50099,16,3,Adams,13510.00
TX,WestRock (TX),50101,48,241,Jasper,433160.00
NH,China Mill Hydro,50103,33,13,Merrimack,3646.00
TX,Paris Energy Center,50109,48,277,Lamar,562512.00
CA,Sierra Pacific Burney Facility,50110,6,89,Shasta,112968.00
CA,Sierra Pacific Quincy Facility,50112,6,63,Plumas,110322.00
CA,US Borax,50115,6,29,Kern,274145.00
TX,Hal C Weaver Power Plant,50118,48,453,Travis,326965.00
CA,Phillips 66 Rodeo Refinery,50119,6,13,Contra Costa,353831.00
TX,Valero Refinery Corpus Christi West,50121,48,355,Nueces,137733.00
NY,Normanskill Hydro Project,50123,36,1,Albany,851.00
VT,Ottauquechee Hydro,50126,50,27,Windsor,2439.00
TX,Signal Hill Generating LLC,50127,48,485,Wichita,4252.00
CA,Clear Lake Hydro Project,50128,6,33,Lake,
CA,Indian Valley Dam Hydro Project,50129,6,33,Lake,1174.00
CA,Coalinga Cogeneration Facility,50131,6,19,Fresno,0.00
CA,Sycamore Cogeneration,50134,6,29,Kern,1129246.00
NY,South Oaks Hospital,50136,36,103,Suffolk,6162.00
TX,Snider Industries,50141,48,203,Harrison,11175.00
GA,Imperial Savannah LP,50146,13,51,Chatham,44697.00
CA,R E Badger Filtration Plant,50147,6,73,San Diego,0.00
CA,Linde Wilmington,50148,6,37,Los Angeles,0.00
TX,Union Carbide Seadrift Cogen,50150,48,57,Calhoun,913230.00
LA,Dow St Charles Operations,50152,22,89,St Charles,1682666.00
TX,Texas City Plant Union Carbide,50153,48,167,Galveston,67971.00
CA,Bear Creek,50156,6,89,Shasta,467.00
MA,International Paper Woronoco Mill,50166,25,13,Hampden,9294.00
KS,Wichita Plant,50169,20,173,Sedgwick,0.00
CA,Berry Cogen,50170,6,29,Kern,282691.00
VA,Emporia,50175,51,81,Greensville,7280.00
NY,Union Falls,50176,36,19,Clinton,9084.00
RI,Blackstone/Tupperware,50177,44,7,Providence,4455.00
VA,Halifax,50178,51,83,Halifax,3150.00
CA,Box Canyon Dam,50179,6,93,Siskiyou,5122.00
CA,Olsen,50180,6,89,Shasta,3358.00
MS,Columbus MS,50184,28,87,Lowndes,542404.00
WA,Cosmo Specialty Fibers Plant,50185,53,27,Grays Harbor,90194.00
WA,Nippon Dynawave Packaging Longview WA,50187,53,15,Cowlitz,302574.00
NC,Weyerhaeuser - New Bern,50188,37,49,Craven,214682.00
NC,Domtar Paper Co LLC Plymouth NC,50189,37,117,Martin,357217.00
WI,Domtar Paper Company Rothschild,50190,55,73,Marathon,6212.00
OR,IP Springfield Oregon,50191,41,39,Lane,95017.00
OK,International Paper Valliant OK,50192,40,89,McCurtain,430911.00
CA,B Braun Medical,50200,6,59,Orange,35153.00
GA,"Multitrade Rabun Gap, LLC",50201,13,241,RABUN,116694.00
NY,US Gypsum Oakfield,50203,36,37,Genesee,16086.00
CO,Williams Ignacio Natural Gas Plant,50205,8,67,La Plata,47842.00
CO,Vallecito Hydroelectric,50206,8,67,La Plata,11000.00
NH,Stored Solar Bethlehem LLC,50208,33,9,GRAFTON,0.00
