Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Plant FIPS state code,Plant FIPS county code,Plant county name,Plant annual net generation (MWh)
UT,Fiddler's Canyon #1,59787,49,21,Iron,6161.00
CT,"Advance Stores Company, Inc",59788,9,3,Hartford,1136.00
NY,Millbrook School,59789,36,27,Dutchess,1958.00
OR,Oregon University System Rabbit Field,59790,41,3,Benton,1578.00
IL,Orchard Hills Renewable Energy Station,59792,17,141,Ogle,77789.00
AK,Industrial Plant,59793,2,110,Juneau,-125.00
IL,Chicago West Side Energy Center,59794,17,31,Cook,0.00
NC,Ahoskie,59795,37,91,Hertford,7313.00
NC,Kelford,59796,37,15,Bertie,8456.00
NJ,Bayonne MUA- Leitner-Poma Wind Turbine,59797,34,17,Hudson,0.00
CA,Colon PV,59798,6,37,Los Angeles,2019.00
CA,Amazon San Bernardino,59800,6,71,San Bernardino,6969.00
CT,IBM Southbury,59801,9,9,New Haven,7395.00
CA,Maxim,59802,6,85,Santa Clara,7336.00
CA,Pixar - Emeryville,59803,6,1,Alameda,6619.00
CA,Starbucks - Evolution Fresh,59804,6,71,San Bernardino,6807.00
CA,Yahoo! - HQ,59805,6,85,Santa Clara,6574.00
CO,Airport 1 Solar (DIA),59807,8,31,Denver,2300.00
IN,Munster Landfill Gas-to-Energy,59808,18,89,Lake,3296.00
TN,Mountain Home Energy Center,59809,47,179,Washington,18177.00
WI,Dairyland WTE Plant,59810,55,9,Brown,0.00
MD,Rockfish Solar LLC,59811,24,17,Charles,19530.00
TX,Wolf Hollow II,59812,48,221,Hood,5341622.00
NV,"Copper Mountain Solar 4, LLC",59814,32,3,Clark,245188.00
MA,Granby LFG,59815,25,15,Hampshire,4066.00
NY,Nanticoke LFG,59816,36,7,Broome,24532.00
UT,Tooele Army Depot(CSG),59817,49,45,Tooele,3896.00
NC,Concord Farm,59818,37,25,Cabarrus,2966.00
AZ,Mohave Electric at Fort Mohave,59819,4,15,Mohave,9493.00
MA,Hunt Farm Solar,59820,25,11,Franklin,3561.00
MA,205 Sturbridge A,59821,25,13,Hampden,3819.00
MA,201 Sturbridge B,59822,25,13,Hampden,2604.00
IN,INDY III,59823,18,97,Marion,0.00
NC,Sweetgum Solar,59824,37,105,Lee,8841.00
NC,South Louisburg Solar,59825,37,69,Franklin,9539.00
NV,Sunshine Valley Solar,59826,32,23,Nye,215303.00
NV,"Playa Solar 1, LLC",59827,32,3,Clark,206402.00
NC,Balsam,59828,37,105,Lee,8564.00
NC,Hickory,59829,37,61,Duplin,7209.00
NC,Royal Solar,59831,37,51,Cumberland,9199.00
NC,Kinston Solar,59832,37,107,Lenoir,8994.00
NC,Laurinburg Solar,59833,37,165,Scotland,8872.00
IN,Indy Grocers,59834,18,97,Marion,0.00
NC,Newton Grove,59835,37,163,Sampson,3052.00
WI,Twin Falls (WI),59836,55,37,Florence,37996.00
KS,Slate Creek Wind Project LLC,59837,20,191,Sumner,614656.00
NM,Milo Wind Project LLC,59838,35,41,Roosevelt,193211.00
MA,Spring Hill Road,59839,25,27,Worcester,2783.00
CA,Springbok Solar Farm 2,59840,6,29,Kern,415522.00
MD,General Motors Corp at White Marsh MD,59841,24,5,Baltimore,796.00
MD,CNE at Cambridge MD,59842,24,19,Dorchester,5771.00
GA,Georgia Power at Wadley GA,59843,13,163,Jefferson,1868.00
NJ,Munich Re Plaza,59844,34,23,Middlesex,1798.00
VA,New River,59845,51,155,Pulaski,17665.00
IL,Northwest Community Hospital,59847,17,31,Cook,1196.00
CO,Pikes Peak Solar Garden 1 LLC CSG,59848,8,41,El Paso,5453.00
CO,Adams Community Solar Garden LLC,59849,8,1,Adams,1995.00
CO,Adams Community Solar Garden III LLC,59850,8,1,Adams,1310.00
MD,Great Bay Solar 1,59851,24,39,Somerset,131646.00
MN,North Star Solar Project,59852,27,25,Chisago,204527.00
MI,Watervliet PV,59853,26,21,Berrien,5617.00
IN,OlivePV,59854,18,141,St Joseph,8267.00
IN,Deer Creek PV,59855,18,53,Grant,3497.00
