State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
19,141,O'Brien,IA,Iowa,p45,MROWc
37,73,Gates,NC,North Carolina,p98,SRVCc
22,91,St. Helena,LA,Louisiana,p58,SRMVc
19,125,Marion,IA,Iowa,p70,MROWc
48,287,Lee,TX,Texas,p64,ERCTc
53,77,Yakima,WA,Washington,p2,NWPPc
40,147,Washington,OK,Oklahoma,p51,SPSOc
51,109,Louisa,VA,Virginia,p99,SRVCc
26,57,Gratiot,MI,Michigan,p103,RFCMc
51,31,Campbell,VA,Virginia,p99,SRVCc
54,7,Braxton,WV,West Virginia,p116,RFCWc
21,41,Carroll,KY,Kentucky,p109,SRTVc
26,43,Dickinson,MI,Michigan,p74,MROEc
17,51,Fayette,IL,Illinois,p81,SRMWc
26,75,Jackson,MI,Michigan,p103,RFCMc
22,85,Sabine,LA,Louisiana,p58,SRMVc
46,65,Hughes,SD,South Dakota,p38,MROWc
13,131,Grady,GA,Georgia,p94,SRSOc
48,41,Brazos,TX,Texas,p64,ERCTc
31,7,Banner,NE,Nebraska,p39,RMPAc
38,13,Burke,ND,North Dakota,p36,MROWc
41,7,Clatsop,OR,Oregon,p5,NWPPc
13,157,Jackson,GA,Georgia,p94,SRSOc
37,67,Forsyth,NC,North Carolina,p97,SRVCc
36,11,Cayuga,NY,New York,p127,NYSTc
30,81,Ravalli,MT,Montana,p17,NWPPc
48,461,Upton,TX,Texas,p62,ERCTc
40,65,Jackson,OK,Oklahoma,p50,SPSOc
17,63,Grundy,IL,Illinois,p80,RFCWc
18,145,Shelby,IN,Indiana,p107,RFCWc
37,27,Caldwell,NC,North Carolina,p97,SRVCc
26,135,Oscoda,MI,Michigan,p103,RFCMc
22,101,St. Mary,LA,Louisiana,p58,SRMVc
27,89,Marshall,MN,Minnesota,p42,MROWc
48,173,Glasscock,TX,Texas,p62,ERCTc
48,195,Hansford,TX,Texas,p48,SPSOc
5,45,Faulkner,AR,Arkansas,p85,SRMVc
17,39,De Witt,IL,Illinois,p83,SRMWc
38,17,Cass,ND,North Dakota,p37,MROWc
6,83,Santa Barbara,CA,California,p9,CAMXc
27,21,Cass,MN,Minnesota,p43,MROWc
19,9,Audubon,IA,Iowa,p45,MROWc
47,7,Bledsoe,TN,Tennessee,p92,SRTVc
21,173,Montgomery,KY,Kentucky,p109,SRTVc
19,61,Dubuque,IA,Iowa,p70,MROWc
21,195,Pike,KY,Kentucky,p110,RFCWc
48,257,Kaufman,TX,Texas,p63,ERCTc
36,75,Oswego,NY,New York,p127,NYSTc
31,81,Hamilton,NE,Nebraska,p40,MROWc
21,229,Washington,KY,Kentucky,p109,SRTVc
27,33,Cottonwood,MN,Minnesota,p68,MROWc
17,121,Marion,IL,Illinois,p81,SRMWc
22,1,Acadia,LA,Louisiana,p58,SRMVc
26,11,Arenac,MI,Michigan,p103,RFCMc
40,13,Bryan,OK,Oklahoma,p50,SPSOc
13,55,Chattooga,GA,Georgia,p94,SRSOc
54,81,Raleigh,WV,West Virginia,p117,RFCWc
13,103,Effingham,GA,Georgia,p94,SRSOc
46,17,Buffalo,SD,South Dakota,p38,MROWc
51,550,Chesapeake,VA,Virginia,p99,SRVCc
48,229,Hudspeth,TX,Texas,p61,ERCTc
1,107,Pickens,AL,Alabama,p89,SRSOc
48,491,Williamson,TX,Texas,p64,ERCTc
35,45,San Juan,NM,New Mexico,p31,AZNMc
1,79,Lawrence,AL,Alabama,p89,SRSOc
55,49,Iowa,WI,Wisconsin,p77,MROWc
18,59,Hancock,IN,Indiana,p105,RFCWc
29,69,Dunklin,MO,Missouri,p84,SRMWc
36,57,Montgomery,NY,New York,p127,NYSTc
36,43,Herkimer,NY,New York,p127,NYSTc
42,113,Sullivan,PA,Pennsylvania,p122,RFCEc
48,193,Hamilton,TX,Texas,p63,ERCTc
29,139,Montgomery,MO,Missouri,p72,SRMWc
20,31,Coffey,KS,Kansas,p53,SPNOc
20,109,Logan,KS,Kansas,p52,SPNOc
47,81,Hickman,TN,Tennessee,p92,SRTVc
17,71,Henderson,IL,Illinois,p81,SRMWc
42,87,Mifflin,PA,Pennsylvania,p122,RFCEc
40,17,Canadian,OK,Oklahoma,p50,SPSOc
49,27,Millard,UT,Utah,p25,NWPPc
16,77,Power,ID,Idaho,p16,NWPPc
48,5,Angelina,TX,Texas,p63,ERCTc
48,443,Terrell,TX,Texas,p61,ERCTc
38,65,Oliver,ND,North Dakota,p36,MROWc
55,23,Crawford,WI,Wisconsin,p77,MROWc
22,19,Calcasieu,LA,Louisiana,p58,SRMVc
21,193,Perry,KY,Kentucky,p110,RFCWc
5,123,St. Francis,AR,Arkansas,p85,SRMVc
55,111,Sauk,WI,Wisconsin,p77,MROWc
13,119,Franklin,GA,Georgia,p94,SRSOc
1,129,Washington,AL,Alabama,p90,SRSOc
27,47,Freeborn,MN,Minnesota,p68,MROWc
1,97,Mobile,AL,Alabama,p90,SRSOc
21,5,Anderson,KY,Kentucky,p109,SRTVc
46,13,Brown,SD,South Dakota,p38,MROWc
39,83,Knox,OH,Ohio,p112,RFCWc
8,105,Rio Grande,CO,Colorado,p34,RMPAc
30,7,Broadwater,MT,Montana,p17,NWPPc
39,45,Fairfield,OH,Ohio,p112,RFCWc
18,47,Franklin,IN,Indiana,p107,RFCWc
42,85,Mercer,PA,Pennsylvania,p122,RFCEc
