State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
16,7,Bear Lake,ID,Idaho,p16,NWPPc
51,683,Manassas,VA,Virginia,p99,SRVCc
12,99,Palm Beach,FL,Florida,p102,FRCCc
25,21,Norfolk,MA,Massachusetts,p131,NEWEc
5,11,Bradley,AR,Arkansas,p85,SRMVc
13,213,Murray,GA,Georgia,p94,SRSOc
27,121,Pope,MN,Minnesota,p43,MROWc
31,127,Nemaha,NE,Nebraska,p41,MROWc
19,161,Sac,IA,Iowa,p45,MROWc
28,87,Lowndes,MS,Mississippi,p88,SRTVc
19,107,Keokuk,IA,Iowa,p70,MROWc
30,77,Powell,MT,Montana,p17,NWPPc
40,31,Comanche,OK,Oklahoma,p50,SPSOc
47,183,Weakley,TN,Tennessee,p92,SRTVc
19,79,Hamilton,IA,Iowa,p70,MROWc
17,33,Crawford,IL,Illinois,p83,SRMWc
20,17,Chase,KS,Kansas,p53,SPNOc
51,147,Prince Edward,VA,Virginia,p99,SRVCc
55,115,Shawano,WI,Wisconsin,p76,MROEc
40,109,Oklahoma,OK,Oklahoma,p50,SPSOc
29,123,Madison,MO,Missouri,p73,SRMWc
39,75,Holmes,OH,Ohio,p112,RFCWc
28,91,Marion,MS,Mississippi,p87,SRMVc
18,121,Parke,IN,Indiana,p105,RFCWc
56,7,Carbon,WY,Wyoming,p24,RMPAc
5,139,Union,AR,Arkansas,p85,SRMVc
28,85,Lincoln,MS,Mississippi,p87,SRMVc
12,65,Jefferson,FL,Florida,p101,FRCCc
6,11,Colusa,CA,California,p9,CAMXc
37,119,Mecklenburg,NC,North Carolina,p97,SRVCc
39,43,Erie,OH,Ohio,p111,RFCWc
39,57,Greene,OH,Ohio,p113,RFCWc
48,361,Orange,TX,Texas,p66,SRMVc
17,197,Will,IL,Illinois,p80,RFCWc
17,59,Gallatin,IL,Illinois,p81,SRMWc
18,71,Jackson,IN,Indiana,p107,RFCWc
27,171,Wright,MN,Minnesota,p43,MROWc
51,175,Southampton,VA,Virginia,p99,SRVCc
21,77,Gallatin,KY,Kentucky,p109,SRTVc
32,11,Eureka,NV,Nevada,p12,NWPPc
53,41,Lewis,WA,Washington,p2,NWPPc
5,69,Jefferson,AR,Arkansas,p85,SRMVc
28,101,Newton,MS,Mississippi,p87,SRMVc
51,99,King George,VA,Virginia,p99,SRVCc
27,163,Washington,MN,Minnesota,p43,MROWc
20,159,Rice,KS,Kansas,p53,SPNOc
48,315,Marion,TX,Texas,p57,SPSOc
36,83,Rensselaer,NY,New York,p127,NYSTc
16,5,Bannock,ID,Idaho,p16,NWPPc
48,77,Clay,TX,Texas,p63,ERCTc
39,135,Preble,OH,Ohio,p113,RFCWc
37,103,Jones,NC,North Carolina,p98,SRVCc
37,55,Dare,NC,North Carolina,p98,SRVCc
16,37,Custer,ID,Idaho,p15,NWPPc
48,61,Cameron,TX,Texas,p65,ERCTc
48,9,Archer,TX,Texas,p63,ERCTc
16,15,Boise,ID,Idaho,p15,NWPPc
20,27,Clay,KS,Kansas,p53,SPNOc
40,149,Washita,OK,Oklahoma,p50,SPSOc
24,11,Caroline,MD,Maryland,p123,RFCEc
26,87,Lapeer,MI,Michigan,p103,RFCMc
30,49,Lewis and Clark,MT,Montana,p18,NWPPc
27,53,Hennepin,MN,Minnesota,p43,MROWc
13,99,Early,GA,Georgia,p94,SRSOc
17,25,Clay,IL,Illinois,p83,SRMWc
21,61,Edmonson,KY,Kentucky,p109,SRTVc
18,137,Ripley,IN,Indiana,p107,RFCWc
49,31,Piute,UT,Utah,p25,NWPPc
19,195,Worth,IA,Iowa,p45,MROWc
13,175,Laurens,GA,Georgia,p94,SRSOc
21,9,Barren,KY,Kentucky,p109,SRTVc
16,29,Caribou,ID,Idaho,p16,NWPPc
19,173,Taylor,IA,Iowa,p45,MROWc
17,35,Cumberland,IL,Illinois,p83,SRMWc
29,101,Johnson,MO,Missouri,p54,SPNOc
29,85,Hickory,MO,Missouri,p55,SPNOc
21,125,Laurel,KY,Kentucky,p109,SRTVc
8,95,Phillips,CO,Colorado,p33,RMPAc
20,67,Grant,KS,Kansas,p52,SPNOc
21,141,Logan,KY,Kentucky,p93,SRTVc
19,41,Clay,IA,Iowa,p45,MROWc
17,117,Macoupin,IL,Illinois,p81,SRMWc
26,113,Missaukee,MI,Michigan,p103,RFCMc
17,179,Tazewell,IL,Illinois,p82,SRMWc
48,247,Jim Hogg,TX,Texas,p65,ERCTc
48,125,Dickens,TX,Texas,p60,ERCTc
51,770,Roanoke,VA,Virginia,p118,RFCWc
28,123,Scott,MS,Mississippi,p87,SRMVc
27,3,Anoka,MN,Minnesota,p43,MROWc
9,13,Tolland,CT,Connecticut,p132,NEWEc
40,153,Woodward,OK,Oklahoma,p50,SPSOc
55,7,Bayfield,WI,Wisconsin,p46,MROWc
29,91,Howell,MO,Missouri,p84,SRMWc
48,401,Rusk,TX,Texas,p63,ERCTc
48,141,El Paso,TX,Texas,p59,AZNMc
42,11,Berks,PA,Pennsylvania,p122,RFCEc
20,73,Greenwood,KS,Kansas,p53,SPNOc
30,23,Deer Lodge,MT,Montana,p17,NWPPc
30,111,Yellowstone,MT,Montana,p20,NWPPc
21,191,Pendleton,KY,Kentucky,p109,SRTVc
29,87,Holt,MO,Missouri,p54,SPNOc
30,9,Carbon,MT,Montana,p18,NWPPc
21,223,Trimble,KY,Kentucky,p109,SRTVc
13,147,Hart,GA,Georgia,p94,SRSOc
13,271,Telfair,GA,Georgia,p94,SRSOc
21,151,Madison,KY,Kentucky,p109,SRTVc
30,61,Mineral,MT,Montana,p17,NWPPc
36,19,Clinton,NY,New York,p127,NYSTc
8,39,Elbert,CO,Colorado,p34,RMPAc
18,3,Allen,IN,Indiana,p105,RFCWc
1,127,Walker,AL,Alabama,p89,SRSOc
21,49,Clark,KY,Kentucky,p109,SRTVc
38,55,McLean,ND,North Dakota,p37,MROWc
48,359,Oldham,TX,Texas,p48,SPSOc
26,101,Manistee,MI,Michigan,p103,RFCMc
38,103,Wells,ND,North Dakota,p37,MROWc
20,181,Sherman,KS,Kansas,p52,SPNOc
48,191,Hall,TX,Texas,p60,ERCTc
48,223,Hopkins,TX,Texas,p63,ERCTc
40,131,Rogers,OK,Oklahoma,p51,SPSOc
48,151,Fisher,TX,Texas,p60,ERCTc
8,63,Kit Carson,CO,Colorado,p34,RMPAc
48,49,Brown,TX,Texas,p63,ERCTc
19,81,Hancock,IA,Iowa,p45,MROWc
45,51,Horry,SC,South Carolina,p96,SRVCc
27,137,St. Louis,MN,Minnesota,p43,MROWc
21,111,Jefferson,KY,Kentucky,p109,SRTVc
37,155,Robeson,NC,North Carolina,p98,SRVCc
4,21,Pinal,AZ,Arizona,p28,AZNMc
45,39,Fairfield,SC,South Carolina,p96,SRVCc
26,91,Lenawee,MI,Michigan,p103,RFCMc
48,323,Maverick,TX,Texas,p65,ERCTc
56,15,Goshen,WY,Wyoming,p24,RMPAc
21,23,Bracken,KY,Kentucky,p109,SRTVc
22,43,Grant,LA,Louisiana,p58,SRMVc
56,37,Sweetwater,WY,Wyoming,p21,NWPPc
22,57,Lafourche,LA,Louisiana,p58,SRMVc
55,5,Barron,WI,Wisconsin,p46,MROWc
13,281,Towns,GA,Georgia,p94,SRSOc
13,65,Clinch,GA,Georgia,p94,SRSOc
18,53,Grant,IN,Indiana,p105,RFCWc
26,85,Lake,MI,Michigan,p103,RFCMc
48,111,Dallam,TX,Texas,p48,SPSOc
56,29,Park,WY,Wyoming,p21,NWPPc
22,75,Plaquemines,LA,Louisiana,p58,SRMVc
45,63,Lexington,SC,South Carolina,p96,SRVCc
48,23,Baylor,TX,Texas,p60,ERCTc
8,51,Gunnison,CO,Colorado,p34,RMPAc
42,69,Lackawanna,PA,Pennsylvania,p122,RFCEc
29,113,Lincoln,MO,Missouri,p72,SRMWc
36,1,Albany,NY,New York,p127,NYSTc
48,375,Potter,TX,Texas,p48,SPSOc
20,187,Stanton,KS,Kansas,p52,SPNOc
13,13,Barrow,GA,Georgia,p94,SRSOc
27,167,Wilkin,MN,Minnesota,p43,MROWc
47,61,Grundy,TN,Tennessee,p92,SRTVc
19,7,Appanoose,IA,Iowa,p70,MROWc
48,329,Midland,TX,Texas,p62,ERCTc
47,9,Blount,TN,Tennessee,p92,SRTVc
18,143,Scott,IN,Indiana,p107,RFCWc
28,83,Leflore,MS,Mississippi,p87,SRMVc
17,105,Livingston,IL,Illinois,p80,RFCWc
12,67,Lafayette,FL,Florida,p101,FRCCc
46,119,Sully,SD,South Dakota,p38,MROWc
37,165,Scotland,NC,North Carolina,p98,SRVCc
8,71,Las Animas,CO,Colorado,p34,RMPAc
51,187,Warren,VA,Virginia,p100,SRVCc
12,73,Leon,FL,Florida,p101,FRCCc
26,19,Benzie,MI,Michigan,p103,RFCMc
31,141,Platte,NE,Nebraska,p40,MROWc
55,41,Forest,WI,Wisconsin,p75,MROEc
40,103,Noble,OK,Oklahoma,p50,SPSOc
36,101,Steuben,NY,New York,p127,NYSTc
26,133,Osceola,MI,Michigan,p103,RFCMc
16,79,Shoshone,ID,Idaho,p15,NWPPc
31,125,Nance,NE,Nebraska,p40,MROWc
40,55,Greer,OK,Oklahoma,p50,SPSOc
51,181,Surry,VA,Virginia,p99,SRVCc
31,9,Blaine,NE,Nebraska,p40,MROWc
41,9,Columbia,OR,Oregon,p5,NWPPc
36,85,Richmond,NY,New York,p127,NYSTc
48,301,Loving,TX,Texas,p62,ERCTc
31,61,Franklin,NE,Nebraska,p40,MROWc
41,61,Union,OR,Oregon,p5,NWPPc
46,103,Pennington,SD,South Dakota,p32,RMPAc
22,11,Beauregard,LA,Louisiana,p58,SRMVc
13,17,Ben Hill,GA,Georgia,p94,SRSOc
26,1,Alcona,MI,Michigan,p103,RFCMc
46,55,Haakon,SD,South Dakota,p38,MROWc
1,77,Lauderdale,AL,Alabama,p89,SRSOc
51,650,Hampton,VA,Virginia,p99,SRVCc
54,9,Brooke,WV,West Virginia,p116,RFCWc
45,71,Newberry,SC,South Carolina,p96,SRVCc
36,91,Saratoga,NY,New York,p127,NYSTc
54,61,Monongalia,WV,West Virginia,p116,RFCWc
40,119,Payne,OK,Oklahoma,p50,SPSOc
12,27,DeSoto,FL,Florida,p101,FRCCc
47,125,Montgomery,TN,Tennessee,p92,SRTVc
48,441,Taylor,TX,Texas,p61,ERCTc
47,141,Putnam,TN,Tennessee,p92,SRTVc
8,121,Washington,CO,Colorado,p33,RMPAc
36,87,Rockland,NY,New York,p127,NYSTc
29,19,Boone,MO,Missouri,p72,SRMWc
54,23,Grant,WV,West Virginia,p116,RFCWc
51,67,Franklin,VA,Virginia,p118,RFCWc
29,133,Mississippi,MO,Missouri,p72,SRMWc
48,227,Howard,TX,Texas,p60,ERCTc
47,49,Fentress,TN,Tennessee,p92,SRTVc
24,43,Washington,MD,Maryland,p121,RFCWc
19,193,Woodbury,IA,Iowa,p45,MROWc
17,93,Kendall,IL,Illinois,p80,RFCWc
48,331,Milam,TX,Texas,p63,ERCTc
51,73,Gloucester,VA,Virginia,p99,SRVCc
37,31,Carteret,NC,North Carolina,p98,SRVCc
41,23,Grant,OR,Oregon,p5,NWPPc
31,23,Butler,NE,Nebraska,p40,MROWc
21,227,Warren,KY,Kentucky,p93,SRTVc
31,111,Lincoln,NE,Nebraska,p40,MROWc
47,151,Scott,TN,Tennessee,p92,SRTVc
19,5,Allamakee,IA,Iowa,p69,MROWc
37,109,Lincoln,NC,North Carolina,p97,SRVCc
13,159,Jasper,GA,Georgia,p94,SRSOc
53,37,Kittitas,WA,Washington,p1,NWPPc
42,75,Lebanon,PA,Pennsylvania,p122,RFCEc
54,49,Marion,WV,West Virginia,p116,RFCWc
55,81,Monroe,WI,Wisconsin,p77,MROWc
48,265,Kerr,TX,Texas,p64,ERCTc
29,177,Ray,MO,Missouri,p54,SPNOc
22,69,Natchitoches,LA,Louisiana,p58,SRMVc
48,473,Waller,TX,Texas,p64,ERCTc
53,15,Cowlitz,WA,Washington,p2,NWPPc
13,277,Tift,GA,Georgia,p94,SRSOc
25,25,Suffolk,MA,Massachusetts,p131,NEWEc
28,45,Hancock,MS,Mississippi,p87,SRMVc
41,49,Morrow,OR,Oregon,p5,NWPPc
31,49,Deuel,NE,Nebraska,p39,RMPAc
31,151,Saline,NE,Nebraska,p40,MROWc
42,43,Dauphin,PA,Pennsylvania,p122,RFCEc
47,111,Macon,TN,Tennessee,p92,SRTVc
36,113,Warren,NY,New York,p127,NYSTc
29,1,Adair,MO,Missouri,p71,SRMWc
42,57,Fulton,PA,Pennsylvania,p120,RFCWc
18,167,Vigo,IN,Indiana,p105,RFCWc
47,23,Chester,TN,Tennessee,p92,SRTVc
13,255,Spalding,GA,Georgia,p94,SRSOc
27,143,Sibley,MN,Minnesota,p43,MROWc
51,27,Buchanan,VA,Virginia,p118,RFCWc
53,29,Island,WA,Washington,p1,NWPPc
