eGRID_subregion,NERC_Acronym,BA_Code,BA_Name,STATE_FIPS,COUNTY_FIPS
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,015
AZNM,WECC,AZPS,Arizona Public Service Company,04,015
AZNM,WECC,SRP,Salt River Project,04,021
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,025
AZNM,WECC,AZPS,Arizona Public Service Company,04,017
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,SRP,Salt River Project,04,021
AZNM,WECC,SRP,Salt River Project,04,001
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,015
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,SRP,Salt River Project,04,021
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,003
AZNM,WECC,SRP,Salt River Project,04,017
AZNM,WECC,SRP,Salt River Project,04,021
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,027
AZNM,WECC,TEPC,Tucson Electric Power Company,04,003
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
RMPA,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,005
AZNM,WECC,TEPC,Tucson Electric Power Company,04,015
AZNM,WECC,GRIF,"Griffith Energy, LLC",04,015
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,012
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,015
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,027
AZNM,WECC,AZPS,Arizona Public Service Company,04,027
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
NWPP,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,005
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,015
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
NWPP,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,017
AZNM,WECC,AZPS,Arizona Public Service Company,04,015
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,015
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,SRP,Salt River Project,04,013
CAMX,WECC,CISO,California Independent System Operator,04,013
CAMX,WECC,CISO,California Independent System Operator,04,013
CAMX,WECC,CISO,California Independent System Operator,04,013
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,015
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,015
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,015
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,HGMA,"New Harquahala Generating Company, LLC - HGBA",04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,017
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,WALC,Western Area Power Administration - Desert Southwest Region,04,012
AZNM,WECC,SRP,Salt River Project,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,005
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,AZPS,Arizona Public Service Company,04,013
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,SRP,Salt River Project,04,021
AZNM,WECC,SRP,Salt River Project,04,007
AZNM,WECC,AZPS,Arizona Public Service Company,04,017
AZNM,WECC,TEPC,Tucson Electric Power Company,04,019
AZNM,WECC,AZPS,Arizona Public Service Company,04,025
