Year,Source,Fuel,ModelYr,TotalEnergy
2022,31,9,2002,5.49039E+12
2022,31,9,2003,1.3359E+12
2022,31,9,2004,1.27348E+12
2022,31,9,2005,1.28588E+12
2022,31,9,2006,1.61692E+12
2022,31,9,2007,1.36099E+12
2022,31,9,2008,9.29899E+11
2022,31,9,2009,6.06262E+12
2022,31,9,2010,1.52649E+13
2022,31,9,2011,1.01459E+13
2022,31,9,2012,1.07238E+13
2022,31,9,2013,8.58669E+12
2022,31,9,2014,1.05139E+13
2022,31,9,2015,8.75746E+13
2022,31,9,2016,4.41624E+13
2022,31,9,2017,3.04617E+14
2022,31,9,2018,4.28436E+14
2022,31,9,2019,3.67157E+15
2022,31,9,2020,2.73794E+15
2022,31,9,2021,4.13177E+15
2022,31,9,2022,4.40701E+15
2023,21,1,1993,1.77061E+16
2023,21,1,1994,2.18762E+16
2023,21,1,1995,2.42223E+16
2023,21,1,1996,2.96908E+16
2023,21,1,1997,3.36693E+16
2023,21,1,1998,3.98939E+16
2023,21,1,1999,5.85126E+16
2023,21,1,2000,6.64495E+16
2023,21,1,2001,7.59588E+16
2023,21,1,2002,8.69738E+16
2023,21,1,2003,9.63449E+16
2023,21,1,2004,1.11695E+17
2023,21,1,2005,1.3354E+17
2023,21,1,2006,1.46278E+17
2023,21,1,2007,1.73717E+17
2023,21,1,2008,1.66773E+17
2023,21,1,2009,1.37114E+17
2023,21,1,2010,1.75968E+17
2023,21,1,2011,2.32347E+17
2023,21,1,2012,2.6203E+17
2023,21,1,2013,2.85797E+17
2023,21,1,2014,3.34168E+17
2023,21,1,2015,3.04523E+17
2023,21,1,2016,3.82234E+17
2023,21,1,2017,3.69102E+17
2023,21,1,2018,3.69536E+17
2023,21,1,2019,3.34512E+17
2023,21,1,2020,2.27718E+17
2023,21,1,2021,3.10055E+17
2023,21,1,2022,3.19458E+17
2023,21,1,2023,3.25415E+17
2023,21,2,1993,8.47431E+12
2023,21,2,1994,1.31957E+13
2023,21,2,1995,1.42093E+14
2023,21,2,1996,3.99157E+13
2023,21,2,1997,3.96251E+13
2023,21,2,1998,6.4674E+13
2023,21,2,1999,1.0931E+14
2023,21,2,2000,1.92146E+14
2023,21,2,2001,1.4236E+14
2023,21,2,2002,3.31445E+14
2023,21,2,2003,3.55265E+14
2023,21,2,2004,2.91413E+14
2023,21,2,2005,4.39536E+14
2023,21,2,2006,6.8175E+14
2023,21,2,2007,1.33141E+14
2023,21,2,2008,1.32946E+14
2023,21,2,2009,3.48659E+15
2023,21,2,2010,2.64847E+15
2023,21,2,2011,1.80792E+15
2023,21,2,2012,3.32516E+15
2023,21,2,2013,3.51165E+15
2023,21,2,2014,6.35113E+15
2023,21,2,2015,5.28548E+15
2023,21,2,2016,3.45339E+14
2023,21,2,2017,7.14704E+13
2023,21,2,2018,2.89767E+14
2023,21,2,2019,7.59981E+13
2023,21,2,2020,4.1159E+12
2023,21,2,2021,5.13923E+12
2023,21,2,2022,4.91558E+12
2023,21,2,2023,4.79263E+12
2023,21,5,1995,1.95535E+11
