state,country,t,co2_gen_mmt,nuclear_MWh,coal_MWh,o-g-s_MWh,gas-cc_MWh,gas-ct_MWh,hydro_MWh,canada_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,battery_MWh,curtailment_MWh,nuclear_MW,coal_MW,o-g-s_MW,gas-cc_MW,gas-ct_MW,hydro_MW,geothermal_MW,biomass_MW,wind-ons_MW,wind-ofs_MW,csp_MW,upv_MW,distpv_MW,battery_MW,nuclear_gen_frac,canada_gen_frac,o-g-s_gen_frac,biomass_gen_frac,gas-ct_gen_frac,wind-ofs_gen_frac,upv_gen_frac,wind-ons_gen_frac,coal_gen_frac,geothermal_gen_frac,distpv_gen_frac,gas-cc_gen_frac,csp_gen_frac,hydro_gen_frac,water_consumption,water_withdrawal,generation_MWh
MT,usa,2010,0.020410012,0,18.25821822,0,0,0.018900132,9.520653941,-0.207301268,0,0,1.04708718,0,0,0,0,0,0,0,2.4711,0.002,0,0.24105,2.71184,0,0,0.398435,0,0,0,0,0,0,-0.00723879,0,0,0.000659977,0,0,0.036563424,0.637561977,0,0,0,0,0.332453412,11.55377193,63.70008802,28.63755821
NC,usa,2010,0.076909868,40.00049652,78.54742798,0,3.702762667,0.22681316,4.987936602,0,0,2.413001831,1.58E-05,0,0,0.079472398,0.001674881,-0.01217815,0,5.060136,12.5636,0.152,1.2826,5.8457,1.80034,0,0.3371,6.00E-06,0,0,0.04042,0.002650822,0.086,0.307791775,0,0,0.018567322,0.001745259,0,0.000611516,1.21E-07,0.604398805,0,1.29E-05,0.028491644,0,0.03838067,50.67864831,3074.424367,129.9596018
ND,usa,2010,0.032957973,0,29.642637,0,0,0,1.75570886,0.756887273,0,0,3.96101358,0,0,3.44E-06,0,0,0,0,4.1249,0.0301,0,0.0537,0.508,0,0,1.507235,0,0,1.82E-06,0,0,0,0.020956973,0,0,0,0,9.52E-08,0.109673999,0.820756221,0,0,0,0,0.048612712,17.28585568,277.0147781,36.11625015
NE,usa,2010,0.029210587,9.341904402,27.87491953,0,0.052015306,0.000492497,1.163968763,0,0,0.02929344,0.561109536,0,0,0,0,0,0,1.181768,3.7711,0.35653,0.3206,1.4773,0.2836,0,0.0064,0.213512,0,0,0,0,0,0.239390513,0,0,0.000750658,1.26E-05,0,0,0.014378685,0.714307384,0,0,0.001332916,0,0.029827224,13.45511487,1014.504763,39.02370347
NH,usa,2010,0.004392044,9.851430629,0.430408371,0.375091117,9.306664706,0.003188468,1.494940402,0,0,0.662772109,0,0,0,0,0,0,0,1.246224,0.53382,0.4002,1.184244,0.082177,0.492986,0,0.154209,0,0,0,0,0,0,0.445272548,0,0.016953657,0.029956484,0.000144115,0,0,0,0.019453929,0,0,0.420649799,0,0.067569468,5.220035345,463.2832652,22.1244958
NJ,usa,2010,0.018372855,32.49043914,13.98464866,0,7.582098427,0.190125432,0.025057437,0,0,0.606388189,0.01971,0,0,0.094321166,0.002339166,0,0,4.1101,2.001,1.4791,5.7176,4.90014,0.0039,0,0.1219,0.0075,0,0,0.050890909,0.004160656,0.4,0.590787594,0,0,0.011026217,0.003457132,0,0.001715082,0.000358395,0.254288866,0,4.25E-05,0.137868549,0,0.00045563,27.00143663,594.1099399,54.99512762
NM,usa,2010,0.031827165,0,29.64592311,0,4.282884907,0.015669507,0.243573682,0,0,0.047140854,1.83928464,0,0,0.027995479,0.000558053,0,0,0,4.031002,0.829,1.460951,0.8994,0.0799,0,0.0064,0.69988,0,0,0.010572727,0.000663047,0,0,0,0,0.001305731,0.000434022,0,0.000775433,0.050945437,0.82114778,0,1.55E-05,0.118629513,0,0.006746627,18.21800738,204.4942003,36.10303023
NV,usa,2010,0.013222201,0,9.659445264,0,6.984188216,0.01348688,2.315688473,0,2.903970406,0,2.63E-05,0,0.159391544,0.252542792,0.000661531,0,0,0,1.3034,0.5811,4.8757,1.4566,0.831299,0.39,0,1.00E-05,0,0.064,0.096754545,0.000865466,0,0,0,0,0,0.00060508,0,0.011330174,1.18E-06,0.433364948,0.130284809,2.97E-05,0.31334122,0.007151002,0.10389191,7.541774759,16.01878718,22.28940139
NY,usa,2010,0.036803855,40.6723287,12.84976408,8.049220708,41.54250176,0.218323747,26.86897484,7.563,0,2.404830638,3.355548245,0,0,0.000817427,0.00553348,0,0,5.145124,1.881,10.730741,7.990895704,4.873317,4.440396,0,0.435502,1.276844842,0,0,0.000440909,0.009521879,1.4066,0.283369955,0.052692507,0.056080077,0.0167548,0.001521093,0,5.70E-06,0.023378587,0.089526152,0,3.86E-05,0.289432576,0,0.187200006,32.42833239,1745.320114,143.5308436
OH,usa,2010,0.136145355,16.86932122,138.1265139,0,0.669371994,0.148345094,0.477575587,0,0,0.286686803,0.02231172,0,0,0.021972108,1.39E-05,0,0,2.134,21.275,0.30805,2.717,6.1023,0.10144,0,0.0577,0.00849,0,0,0.012857273,2.73E-05,0,0.107707149,0,0,0.001830436,0.000947153,0,0.000140287,0.000142456,0.881909405,0,8.88E-08,0.004273803,0,0.003049222,75.48252513,2658.264162,156.6221123
