Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
Midwest,IN,Wheatland Generating Facility LLC,55224,EU-03,Wheatland Generating Facility LLC EU-03,Knox County,55224|EU-03|Midwest,43280.05,571436.666,0.008214683,0.001532272,0.002270033
Midwest,IN,Wheatland Generating Facility LLC,55224,EU-04,Wheatland Generating Facility LLC EU-04,Knox County,55224|EU-04|Midwest,44714.34,591658.536,0.007064072,0.00131765,0.005551212
Midwest,IN,Montpelier Electric Gen Station,55229,G1CT1,Montpelier Electric Gen Station G1CT1,Wells County,55229|G1CT1|Midwest,46143.45,487419.1,0.007622007,0.002998507,0.006576566
Midwest,IN,Montpelier Electric Gen Station,55229,G1CT2,Montpelier Electric Gen Station G1CT2,Wells County,55229|G1CT2|Midwest,47310.44,503965.8,0.007622007,0.002998507,0.006576566
Midwest,IN,Montpelier Electric Gen Station,55229,G2CT1,Montpelier Electric Gen Station G2CT1,Wells County,55229|G2CT1|Midwest,43756.39,482199.8,0.007622007,0.002998507,0.006576566
Midwest,IN,Montpelier Electric Gen Station,55229,G2CT2,Montpelier Electric Gen Station G2CT2,Wells County,55229|G2CT2|Midwest,30801.69,325630.9,0.007622007,0.002998507,0.006576566
Midwest,IN,Montpelier Electric Gen Station,55229,G3CT1,Montpelier Electric Gen Station G3CT1,Wells County,55229|G3CT1|Midwest,47230.98,524604.2,0.007622007,0.002998507,0.006576566
Midwest,IN,Montpelier Electric Gen Station,55229,G3CT2,Montpelier Electric Gen Station G3CT2,Wells County,55229|G3CT2|Midwest,50610.08,531335.3,0.007622007,0.002998507,0.006576566
Midwest,IN,Montpelier Electric Gen Station,55229,G4CT1,Montpelier Electric Gen Station G4CT1,Wells County,55229|G4CT1|Midwest,50333.43,496972.7,0.007622007,0.002998507,0.006576566
Midwest,IN,Montpelier Electric Gen Station,55229,G4CT2,Montpelier Electric Gen Station G4CT2,Wells County,55229|G4CT2|Midwest,50294.45,550295.7,0.007622007,0.002998507,0.006576566
Midwest,IN,"Whiting Clean Energy, Inc.",55259,CT1,"Whiting Clean Energy, Inc. CT1",Lake County,55259|CT1|Midwest,1137609.94,13229689.92,0.008148602,0.002688425,0.001303479
Midwest,IN,"Whiting Clean Energy, Inc.",55259,CT2,"Whiting Clean Energy, Inc. CT2",Lake County,55259|CT2|Midwest,1001283.83,11440200.08,0.011344865,0.002642801,0.001290531
Midwest,IN,Sugar Creek Generating Station,55364,CT11,Sugar Creek Generating Station CT11,Vigo County,55364|CT11|Midwest,1471158.81,10417671.64,0.013779729,0.009969522,0.003129435
Midwest,IN,Sugar Creek Generating Station,55364,CT12,Sugar Creek Generating Station CT12,Vigo County,55364|CT12|Midwest,1460557.48,10260456.87,0.014289455,0.010338305,0.003245196
