Region,State,Plant,ORSPL,Unit,Full Name,County,Generation
Mid-Atlantic,NJ,Newark Energy Center,58079,U001,Newark Energy Center U001,Essex County,2136089.85
Mid-Atlantic,NJ,Newark Energy Center,58079,U002,Newark Energy Center U002,Essex County,2193141.77
California,CA,"Delano Energy Center, LLC",58122,GEN1,"Delano Energy Center, LLC GEN1",Tulare County,19208.57
Midwest,WI,Rothschild Biomass Cogeneration Facility,58124,1,Rothschild Biomass Cogeneration Facility 1,Marathon County,0
Mid-Atlantic,NJ,Clayville,58235,U1,Clayville U1,Cumberland County,104851.99
Midwest,IA,Marshalltown Generating Station,58236,CT1,Marshalltown Generating Station CT1,Marshall County,727586.35
Midwest,IA,Marshalltown Generating Station,58236,CT2,Marshalltown Generating Station CT2,Marshall County,708949.14
Mid-Atlantic,VA,Brunswick County Power Station,58260,1A,Brunswick County Power Station 1A,Brunswick County,2758230.58
Mid-Atlantic,VA,Brunswick County Power Station,58260,1B,Brunswick County Power Station 1B,Brunswick County,2795474.32
Mid-Atlantic,VA,Brunswick County Power Station,58260,1C,Brunswick County Power Station 1C,Brunswick County,2789028.55
Southwest,NM,La Luz Energy Center,58284,1,La Luz Energy Center 1,Valencia County,10719.94
Central,OK,Charles D Lamb Energy Center,58325,1,Charles D Lamb Energy Center 1,Kay County,46785.75
Texas,TX,Carbon Capture Plant,58378,CTHRSG,Carbon Capture Plant CTHRSG,Fort Bend County,474223.44
Mid-Atlantic,PA,Panda Liberty Power Project,58420,CT1,Panda Liberty Power Project CT1,Bradford County,3006887.93
Mid-Atlantic,PA,Panda Liberty Power Project,58420,CT2,Panda Liberty Power Project CT2,Bradford County,2917138.97
Mid-Atlantic,PA,Panda Patriot Generation Plant,58426,CT1,Panda Patriot Generation Plant CT1,Lycoming County,3281156.95
Mid-Atlantic,PA,Panda Patriot Generation Plant,58426,CT2,Panda Patriot Generation Plant CT2,Lycoming County,3067946.56
Midwest,MI,Lansing BWL REO Town Plant,58427,100,Lansing BWL REO Town Plant 100,Ingham County,239518.1
Midwest,MI,Lansing BWL REO Town Plant,58427,200,Lansing BWL REO Town Plant 200,Ingham County,204023.22
Texas,TX,Ector County Energy Center,58471,CT-1,Ector County Energy Center CT-1,Ector County,138939.57
Texas,TX,Ector County Energy Center,58471,CT-2,Ector County Energy Center CT-2,Ector County,107199.46
Midwest,LA,LEPA Unit No. 1,58478,CC01,LEPA Unit No. 1 CC01,St. Mary Parish,232839.5
Northwest,OR,Carty Generating Station,58503,CTEU1,Carty Generating Station CTEU1,Morrow County,2444505.69
Southwest,TX,Montana Power Station,58562,GT-1,Montana Power Station GT-1,El Paso County,354296.14
Southwest,TX,Montana Power Station,58562,GT-2,Montana Power Station GT-2,El Paso County,304497.6
Southwest,TX,Montana Power Station,58562,GT-3,Montana Power Station GT-3,El Paso County,116994.72
Southwest,TX,Montana Power Station,58562,GT-4,Montana Power Station GT-4,El Paso County,278649.68
Mid-Atlantic,PA,Shell Chemical Appalachia LLC,58933,101,Shell Chemical Appalachia LLC 101,Beaver County,0
Mid-Atlantic,PA,Shell Chemical Appalachia LLC,58933,102,Shell Chemical Appalachia LLC 102,Beaver County,0
Mid-Atlantic,PA,Shell Chemical Appalachia LLC,58933,103,Shell Chemical Appalachia LLC 103,Beaver County,0
Mid-Atlantic,VA,Panda Stonewall Power Project,59004,CT1,Panda Stonewall Power Project CT1,Loudoun County,1761199.6
Mid-Atlantic,VA,Panda Stonewall Power Project,59004,CT2,Panda Stonewall Power Project CT2,Loudoun County,1706316.4
Mid-Atlantic,MD,Cove Point LNG Terminal,59073,214JA,Cove Point LNG Terminal 214JA,Calvert County,0
Mid-Atlantic,MD,Cove Point LNG Terminal,59073,214JB,Cove Point LNG Terminal 214JB,Calvert County,0
Mid-Atlantic,MD,Cove Point LNG Terminal,59073,B921A,Cove Point LNG Terminal B921A,Calvert County,0
Mid-Atlantic,MD,Cove Point LNG Terminal,59073,B921B,Cove Point LNG Terminal B921B,Calvert County,0
Mid-Atlantic,MD,Cove Point LNG Terminal,59073,GT501A,Cove Point LNG Terminal GT501A,Calvert County,0
Mid-Atlantic,MD,Cove Point LNG Terminal,59073,GT501B,Cove Point LNG Terminal GT501B,Calvert County,0
