"","sourceTypeID","modelYearID","fuelTypeID","engTechID","fuelEngFraction"
"344","21",2025,"9","30",0.203417911541084
"345","21",2026,"1","1",0.733979041247176
"346","21",2026,"2","1",1.12282007490012e-05
"347","21",2026,"5","1",0.0137166147521757
"348","21",2026,"9","30",0.252293115799899
"349","21",2027,"1","1",0.686023302717535
"350","21",2027,"2","1",1.03907931671333e-05
"351","21",2027,"5","1",0.0127982093956885
"352","21",2027,"9","30",0.301168097093609
"353","21",2028,"1","1",0.638067876771491
"354","21",2028,"2","1",9.67500704289932e-06
"355","21",2028,"5","1",0.0118796172128126
"356","21",2028,"9","30",0.350042831008654
"357","21",2029,"1","1",0.557075466248231
"358","21",2029,"2","1",8.5001817035657e-06
"359","21",2029,"5","1",0.0103730370251564
"360","21",2029,"9","30",0.432542996544909
"361","21",2030,"1","1",0.476087354863557
"362","21",2030,"2","1",7.39855722888383e-06
"363","21",2030,"5","1",0.00886240057259806
"364","21",2030,"9","30",0.515042846006616
"365","21",2031,"1","1",0.39508522336166
"366","21",2031,"2","1",6.1550251114657e-06
"367","21",2031,"5","1",0.0073668775290237
"368","21",2031,"9","30",0.597541744084205
"369","21",2032,"1","1",0.314098990259245
"370","21",2032,"2","1",4.92256581236614e-06
"371","21",2032,"5","1",0.00586005844800721
"372","21",2032,"9","30",0.680036028726936
"373","21",2033,"1","1",0.251268520507856
"374","21",2033,"2","1",3.95357196190022e-06
"375","21",2033,"5","1",0.00469527335787259
"376","21",2033,"9","30",0.74403225256231
"377","21",2034,"1","1",0.188445311065861
"378","21",2034,"2","1",2.98114506011078e-06
"379","21",2034,"5","1",0.00352566267128255
"380","21",2034,"9","30",0.808026045117796
"381","21",2035,"1","1",0.125624553437295
"382","21",2035,"2","1",1.99702506699931e-06
"383","21",2035,"5","1",0.00235425760986666
"384","21",2035,"9","30",0.872019191927771
"385","21",2036,"1","1",0.06280966281519
"386","21",2036,"2","1",1.01450394735541e-06
"387","21",2036,"5","1",0.00117906137679211
"388","21",2036,"9","30",0.936010261304071
"389","21",2037,"1","1",0
"390","21",2037,"2","1",0
"391","21",2037,"5","1",0
"392","21",2037,"9","30",1
"393","21",2038,"1","1",0
"394","21",2038,"2","1",0
"395","21",2038,"5","1",0
"396","21",2038,"9","30",1
"397","21",2039,"1","1",0
"398","21",2039,"2","1",0
"399","21",2039,"5","1",0
"400","21",2039,"9","30",1
"401","21",2040,"1","1",0
"402","21",2040,"2","1",0
"403","21",2040,"5","1",0
"404","21",2040,"9","30",1
"405","21",2041,"1","1",0
"406","21",2041,"2","1",0
"407","21",2041,"5","1",0
"408","21",2041,"9","30",1
"409","21",2042,"1","1",0
"410","21",2042,"2","1",0
"411","21",2042,"5","1",0
"412","21",2042,"9","30",1
"413","21",2043,"1","1",0
"414","21",2043,"2","1",0
"415","21",2043,"5","1",0
"416","21",2043,"9","30",1
"417","21",2044,"1","1",0
"418","21",2044,"2","1",0
"419","21",2044,"5","1",0
"420","21",2044,"9","30",1
"421","21",2045,"1","1",0
"422","21",2045,"2","1",0
"423","21",2045,"5","1",0
"424","21",2045,"9","30",1
"425","21",2046,"1","1",0
"426","21",2046,"2","1",0
"427","21",2046,"5","1",0
"428","21",2046,"9","30",1
"429","21",2047,"1","1",0
"430","21",2047,"2","1",0
"431","21",2047,"5","1",0
"432","21",2047,"9","30",1
"433","21",2048,"1","1",0
"434","21",2048,"2","1",0
"435","21",2048,"5","1",0
"436","21",2048,"9","30",1
"437","21",2049,"1","1",0
"438","21",2049,"2","1",0
"439","21",2049,"5","1",0
"440","21",2049,"9","30",1
"441","21",2050,"1","1",0
"442","21",2050,"2","1",0
"443","21",2050,"5","1",0
"444","21",2050,"9","30",1
"445","31",1940,"1","1",1
"446","31",1940,"2","1",0
"447","31",1940,"5","1",0
"448","31",1940,"9","30",0
"449","31",1941,"1","1",1
"450","31",1941,"2","1",0
"451","31",1941,"5","1",0
"452","31",1941,"9","30",0
"453","31",1942,"1","1",1
"454","31",1942,"2","1",0
"455","31",1942,"5","1",0
"456","31",1942,"9","30",0
"457","31",1943,"1","1",1
"458","31",1943,"2","1",0
"459","31",1943,"5","1",0
"460","31",1943,"9","30",0
"461","31",1944,"1","1",1
"462","31",1944,"2","1",0
"463","31",1944,"5","1",0
"464","31",1944,"9","30",0
"465","31",1945,"1","1",1
"466","31",1945,"2","1",0
"467","31",1945,"5","1",0
"468","31",1945,"9","30",0
"469","31",1946,"1","1",1
"470","31",1946,"2","1",0
"471","31",1946,"5","1",0
"472","31",1946,"9","30",0
"473","31",1947,"1","1",1
"474","31",1947,"2","1",0
