Regulatory Class,Vehicle Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,7+ Gears,Average Number of Gears,Transmission - CVT (Non-Hybrid)
"Car","Sedan/Wagon","1993","8456","0.640123","28.19391","23.45914","20.26584","27.86440","378.82894","438.52128","318.93740","3207.167","-","166.3287","138.2942","10.1248","0.865141","0.042535","37.70139","0.851","0.012","0.137","0.178","0.052","0.770","0.000","0.000","0.000","undefined","0.916","0.084","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.367","undefined","0.000","4.0","0.000"
"Car","Sedan/Wagon","1994","8415","0.595743","28.04729","23.27300","19.99754","27.72141","381.86337","444.40988","320.58643","3249.686","-","167.7259","142.8141","9.9253","0.883670","0.043234","37.89439","0.844","0.004","0.151","0.167","0.040","0.793","0.000","0.000","0.000","undefined","0.949","0.051","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.410","undefined","0.000","4.0","0.000"
"Car","Sedan/Wagon","1995","9396","0.620390","28.32350","23.44355","19.97490","28.11524","379.10881","444.93985","316.11648","3262.620","-","166.9112","152.4623","9.7956","0.944644","0.046019","38.31932","0.820","0.012","0.169","0.163","0.018","0.819","0.000","0.000","0.000","undefined","0.988","0.012","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.522","undefined","0.000","4.1","0.000"
"Car","Sedan/Wagon","1996","7890","0.600276","28.28562","23.33458","19.82557","27.95744","380.88755","448.30062","317.90822","3281.749","-","165.4487","154.1331","10.1113","0.957783","0.046362","38.33026","0.865","0.015","0.119","0.149","0.016","0.836","0.000","0.000","0.000","undefined","0.988","0.011","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","0.003","undefined","0.000","0.573","undefined","0.000","4.1","0.000"
"Car","Sedan/Wagon","1997","8334","0.576479","28.43270","23.37244","19.80466","27.96814","380.26313","448.76571","317.77992","3274.061","-","163.6085","156.0286","10.0287","0.974450","0.046911","38.30890","0.865","0.017","0.117","0.135","0.006","0.858","0.000","0.000","0.000","undefined","0.991","0.008","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","0.007","undefined","0.000","0.586","undefined","0.000","4.1","0.001"
"Car","Sedan/Wagon","1998","7971","0.551403","28.52280","23.36801","19.73128","27.95777","380.37277","450.47757","317.93046","3305.987","-","163.8087","159.0853","10.1931","0.992995","0.047498","38.72530","0.870","0.023","0.107","0.123","0.004","0.873","0.000","0.000","0.000","undefined","0.997","0.001","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","0.015","undefined","0.000","0.614","undefined","0.000","4.1","0.001"
"Car","Sedan/Wagon","1999","8376","0.550547","28.16124","23.00469","19.36456","27.50105","386.37387","459.00129","323.20514","3364.561","-","165.7662","163.9751","10.0517","1.009020","0.048141","38.75758","0.872","0.022","0.106","0.109","0.006","0.884","0.000","0.000","0.000","undefined","0.997","0.001","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","0.026","undefined","0.000","0.647","undefined","0.000","4.1","0.000"
"Car","Sedan/Wagon","2000","9125","0.550664","28.16165","22.91435","19.27419","27.29134","387.91299","461.17064","325.70324","3369.209","-","165.3799","167.9300","9.5095","1.031872","0.049163","38.65720","0.849","0.021","0.130","0.112","0.011","0.877","0.000","0.000","0.000","undefined","0.997","0.001","0.000","0.002","0.000","0.000","0.000","0.000","0.001","0.997","0.023","undefined","0.000","0.651","0.234","0.000","4.1","0.000"
"Car","Sedan/Wagon","2001","8405","0.538570","28.44883","23.04554","19.37077","27.34719","385.71846","458.88733","325.04965","3379.627","-","164.6496","168.4034","9.3280","1.041784","0.049239","39.10782","0.841","0.032","0.126","0.114","0.009","0.875","0.002","0.000","0.000","undefined","0.997","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.002","0.995","0.036","undefined","0.000","0.673","0.283","0.000","4.2","0.000"
"Car","Sedan/Wagon","2002","8301","0.515107","28.63945","23.08460","19.42998","27.23154","385.11456","457.54616","326.47198","3391.217","-","165.5060","172.9148","9.3208","1.065596","0.050396","39.30728","0.849","0.038","0.112","0.112","0.002","0.882","0.003","0.000","0.000","undefined","0.996","0.000","0.000","0.004","0.000","0.000","0.000","0.000","0.003","0.993","0.042","undefined","0.000","0.699","0.339","0.000","4.2","0.001"
"Car","Sedan/Wagon","2003","7921","0.502186","28.97873","23.27673","19.48933","27.50336","381.92366","456.13713","323.23612","3416.898","-","165.2884","176.1243","9.1145","1.086534","0.050999","39.98651","0.820","0.035","0.145","0.112","0.000","0.879","0.005","0.000","0.000","undefined","0.996","0.000","0.000","0.004","0.000","0.000","0.000","0.000","0.006","0.990","0.021","undefined","0.000","0.738","0.413","0.000","4.4","0.004"
"Car","Sedan/Wagon","2004","7537","0.479792","28.88169","23.14043","19.25776","27.40872","384.15892","461.60890","324.33677","3461.634","-","168.2243","182.5044","8.9634","1.106139","0.052100","40.30472","0.808","0.054","0.137","0.102","0.003","0.882","0.009","0.000","0.000","undefined","0.997","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.009","0.988","0.040","undefined","0.000","0.773","0.442","0.005","4.4","0.005"
"Car","Sedan/Wagon","2005","8027","0.505059","29.50832","23.49079","19.59842","27.63056","378.50244","453.67402","321.79405","3462.705","-","166.2592","182.1716","8.9322","1.114607","0.051833","41.04097","0.798","0.058","0.145","0.093","0.001","0.880","0.018","0.000","0.000","undefined","0.996","0.000","0.000","0.004","0.000","0.000","0.000","0.000","0.021","0.975","0.027","undefined","0.011","0.782","0.516","0.005","4.5","0.008"
"Car","Sedan/Wagon","2006","7993","0.529181","29.23091","23.29940","19.39112","27.47722","381.67414","458.58613","323.65282","3534.091","-","171.9219","193.9650","8.7246","1.145889","0.054022","41.56582","0.758","0.058","0.185","0.094","0.001","0.881","0.015","0.000","0.000","undefined","0.994","0.000","0.000","0.006","0.000","0.000","0.000","0.000","0.015","0.978","0.036","undefined","0.022","0.808","0.606","0.021","4.7","0.009"
"Car","Sedan/Wagon","2007","8082","0.529061","30.33752","24.10789","20.12869","28.33333","368.65941","441.53930","313.67984","3507.310","-","165.3440","189.4010","8.8438","1.157120","0.053073","42.82199","0.805","0.057","0.138","0.085","0.000","0.811","0.033","0.000","0.000","undefined","0.996","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.034","0.965","0.036","undefined","0.010","0.848","0.652","0.025","4.8","0.071"
"Car","Sedan/Wagon","2008","7319","0.526586","30.54399","24.26732","20.24886","28.54007","366.24424","438.92634","311.41388","3526.893","45.20013","164.9720","192.8650","8.8335","1.177767","0.053633","43.34663","0.777","0.073","0.150","0.080","0.003","0.802","0.033","0.000","0.000","0.032","0.968","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.034","0.965","0.047","undefined","0.023","0.878","0.635","0.029","4.8","0.082"
"Car","Sedan/Wagon","2009","5636","0.605014","32.08450","25.33789","21.26862","29.64854","351.01316","418.16868","299.98139","3464.462","44.92996","154.9159","183.8245","8.8638","1.190074","0.052027","44.38342","0.826","0.067","0.107","0.068","0.004","0.820","0.028","0.000","0.000","0.045","0.948","0.000","0.000","0.007","0.000","0.000","0.000","0.000","0.030","0.963","0.043","undefined","0.020","0.920","0.797","0.033","4.9","0.080"
"Car","Sedan/Wagon","2010","6061","0.545198","33.17751","26.16218","22.01937","30.48967","340.06486","404.04838","291.79659","3474.093","45.21904","156.0318","186.6923","8.8157","1.196928","0.052691","46.62459","0.816","0.059","0.125","0.057","0.019","0.776","0.062","0.000","0.000","0.066","0.924","0.000","0.000","0.010","0.000","0.000","0.000","0.000","0.062","0.928","0.046","undefined","0.024","0.929","0.905","0.037","5.0","0.087"
"Car","Sedan/Wagon","2011","5743","0.477828","32.89243","25.82170","21.62453","30.25109","344.45887","411.35565","293.99288","3559.086","45.80972","159.4272","198.5117","8.5097","1.251917","0.054695","46.83659","0.783","0.084","0.134","0.054","0.006","0.812","0.037","0.000","0.000","0.164","0.823","0.000","0.002","0.011","0.002","0.001","0.000","0.000","0.040","0.945","0.097","undefined","0.016","0.934","0.937","0.065","5.5","0.091"
"Car","Sedan/Wagon","2012","7393","0.549736","35.37881","27.59971","23.27884","32.09360","322.10411","381.91993","276.97990","3451.780","45.44823","147.7861","188.7913","8.5831","1.279290","0.053594","48.73666","0.841","0.062","0.096","0.056","0.021","0.767","0.046","0.000","0.000","0.254","0.732","0.000","0.002","0.012","0.002","0.005","0.000","0.000","0.054","0.927","0.109","0.010","0.017","0.980","0.974","0.069","5.5","0.110"
"Car","Sedan/Wagon","2013","8226","0.541262","36.44280","28.35773","23.97274","32.89718","313.18409","370.57230","269.89123","3465.189","45.68693","145.0607","193.9407","8.4263","1.343302","0.054829","50.83443","0.816","0.077","0.107","0.056","0.026","0.722","0.051","0.000","0.000","0.353","0.628","0.000","0.006","0.013","0.006","0.007","0.000","0.000","0.063","0.911","0.150","0.034","0.018","0.976","0.972","0.087","5.4","0.145"
"Car","Sedan/Wagon","2014","7639","0.492449","36.60034","28.38531","23.99001","32.93776","312.95857","370.39561","269.62888","3496.549","45.99471","146.7626","197.0531","8.3639","1.352708","0.055114","51.21150","0.793","0.082","0.125","0.047","0.032","0.639","0.045","0.000","0.000","0.408","0.571","0.000","0.006","0.016","0.006","0.008","0.000","0.000","0.050","0.921","0.186","0.080","0.023","0.972","0.968","0.112","5.7","0.237"
"Car","Sedan/Wagon","2015","7899","0.471935","37.51367","29.00986","24.48679","33.70677","305.73846","362.41318","262.98385","3488.660","46.04941","144.9985","196.2541","8.3238","1.360214","0.054991","52.64419","0.783","0.103","0.115","0.046","0.028","0.606","0.043","0.000","0.000","0.422","0.558","0.000","0.010","0.010","0.010","0.006","0.000","0.000","0.048","0.926","0.186","0.094","0.023","0.970","0.971","0.163","5.8","0.277"
"Car","Sedan/Wagon","2016","7131","0.438051","37.81546","29.20510","24.63590","33.95609","303.32070","359.71035","260.78113","3468.065","46.16236","141.8940","197.0935","8.2606","1.401964","0.055617","52.55368","0.784","0.104","0.112","0.041","0.048","0.607","0.030","0.000","0.000","0.497","0.494","0.000","0.009","0.001","0.009","0.006","0.000","0.000","0.034","0.950","0.243","0.105","0.024","0.972","0.989","0.166","5.7","0.273"
"Car","Sedan/Wagon","2017","6979","0.410182","38.89399","30.18222","25.54201","34.97559","292.68457","346.01719","252.45119","3470.570","46.13545","138.4500","193.5764","8.3129","1.411370","0.054605","55.51911","0.776","0.124","0.100","0.044","0.049","0.546","0.035","0.000","0.000","0.511","0.475","0.000","0.013","0.001","0.012","0.017","0.000","0.000","0.043","0.927","0.280","0.158","0.035","0.971","0.982","0.152","5.5","0.327"
"Car","Sedan/Wagon","2018","5962","0.366674","39.69371","30.76299","26.11815","35.52964","285.55547","336.80740","246.89173","3534.730","46.67635","137.7736","205.8901","8.0270","1.482251","0.056832","60.77945","0.724","0.158","0.118","0.035","0.071","0.546","0.030","0.000","0.000","0.513","0.452","0.000","0.034","0.001","0.033","0.017","0.000","0.000","0.037","0.911","0.339","0.195","0.031","0.950","0.961","0.278","5.7","0.317"
"Car","Sedan/Wagon","2019","5279","0.327117","39.91134","30.87589","26.31471","35.52053","284.92109","334.79659","247.29571","3511.935","46.48309","138.2512","204.1127","8.0627","1.464739","0.056589","60.31456","0.713","0.162","0.125","0.037","0.063","0.476","0.043","0.000","0.000","0.500","0.468","0.000","0.032","0.000","0.031","0.012","0.000","0.000","0.060","0.897","0.302","0.179","0.031","0.946","0.967","0.314","5.7","0.382"
"Car","Sedan/Wagon","Prelim. 2020","-","0.332830","42.06983","32.02186","27.56718","36.46739","271.71313","316.73002","237.75302","3557.897","46.73399","136.0693","209.6671","7.7799","1.489802","0.057463","68.53487","0.680","0.177","0.143","0.036","0.097","0.344","0.046","0.000","0.000","0.463","0.465","0.000","0.072","0.000","0.072","0.010","0.000","0.000","0.059","0.859","0.297","0.171","0.029","0.913","0.918","0.291","5.0","0.477"
"Truck","All Truck","1975","1977","0.193354","13.67996","11.63431","10.91165","12.65900","763.86134","814.45060","702.03002","4072.518","-","311.0495","142.0826","-","0.476416","0.034946","24.20730","0.000","0.172","0.828","0.369","0.631","0.000","0.000","0.000","0.999","undefined","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Truck","All Truck","1976","2600","0.210836","14.40924","12.24713","11.55419","13.21586","725.63932","769.15824","672.44953","4155.327","-","319.6884","140.7925","-","0.457591","0.033969","25.97122","0.000","0.230","0.770","0.347","0.653","0.000","0.000","0.000","0.999","undefined","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Truck","All Truck","1977","2805","0.198581","15.64156","13.28478","12.64952","14.15353","668.96080","702.55623","627.89973","4136.002","-","318.3584","147.3296","-","0.482313","0.035620","28.02065","0.000","0.238","0.762","0.316","0.684","0.000","0.000","0.000","0.999","undefined","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Truck","All Truck","1978","3257","0.225419","15.25416","12.94860","12.40906","13.67532","686.91120","716.76589","650.42214","4152.067","-","314.6862","145.7236","13.3595","0.480748","0.035078","27.51770","0.000","0.291","0.709","0.321","0.679","0.000","0.000","0.000","0.991","undefined","0.000","0.001","0.000","0.008","0.000","0.000","0.000","0.000","0.000","0.992","undefined","undefined","0.000","-","undefined","-","-","0.000"
"Truck","All Truck","1979","3072","0.221296","14.72366","12.52042","12.08076","13.10326","711.09852","736.98373","679.46103","4256.863","-","298.7350","138.2265","14.9740","0.485365","0.032470","27.28959","0.000","0.181","0.819","0.351","0.628","0.021","0.000","0.000","0.979","undefined","0.000","0.003","0.000","0.018","0.000","0.000","0.000","0.000","0.000","0.982","undefined","undefined","0.000","-","undefined","0.000","3.3","0.000"
"Truck","All Truck","1980","1863","0.164745","18.56014","15.77936","14.83106","17.11704","565.36885","601.50942","521.19705","3868.606","-","248.3577","120.9049","15.6899","0.527660","0.031255","30.85744","0.014","0.250","0.736","0.530","0.224","0.245","0.000","0.000","0.949","undefined","0.000","0.017","0.000","0.035","0.000","0.000","0.000","0.000","0.000","0.965","undefined","undefined","0.000","-","undefined","0.000","3.5","0.000"
"Truck","All Truck","1981","1821","0.172495","20.09639","17.09200","16.00519","18.63890","522.62948","558.07683","479.30496","3805.596","-","247.0042","118.5032","15.7029","0.508184","0.031077","33.00807","0.019","0.201","0.780","0.516","0.173","0.311","0.000","0.000","0.933","undefined","0.000","0.011","0.000","0.056","0.000","0.000","0.000","0.000","0.000","0.944","undefined","undefined","0.000","-","undefined","0.000","3.6","0.000"
"Truck","All Truck","1982","1901","0.195313","20.46280","17.40582","16.27374","19.02325","515.86923","551.71556","472.05705","3813.483","-","243.8702","120.4064","16.6172","0.523826","0.031711","33.78280","0.017","0.202","0.781","0.459","0.207","0.334","0.000","0.000","0.899","undefined","0.000","0.007","0.000","0.094","0.000","0.000","0.000","0.000","0.000","0.906","undefined","undefined","0.000","-","undefined","0.000","3.7","0.000"
"Truck","All Truck","1983","2267","0.220030","20.83034","17.72939","16.45150","19.58913","503.94351","543.08612","456.10255","3772.506","-","231.7698","118.0416","15.2915","0.542154","0.031312","34.00339","0.014","0.261","0.725","0.463","0.174","0.360","0.000","0.003","0.946","undefined","0.000","0.006","0.000","0.048","0.000","0.000","0.000","0.000","0.000","0.952","undefined","undefined","0.000","-","undefined","0.000","3.9","0.000"
"Truck","All Truck","1984","3289","0.234628","20.43977","17.39887","16.11990","19.26725","512.09938","552.71521","462.45782","3787.013","-","225.1339","117.7982","15.3478","0.556402","0.031024","33.48181","0.050","0.315","0.635","0.425","0.229","0.346","0.000","0.000","0.950","undefined","0.020","0.006","0.000","0.024","0.000","0.000","0.000","0.000","0.000","0.976","undefined","undefined","0.000","-","undefined","0.000","3.9","0.000"
"Truck","All Truck","1985","3581","0.247651","20.52003","17.46626","16.19283","19.32358","509.44751","549.51304","460.47854","3803.231","-","224.9186","124.4415","14.6760","0.584913","0.032619","33.71843","0.073","0.313","0.614","0.376","0.212","0.411","0.000","0.000","0.865","undefined","0.089","0.035","0.000","0.011","0.000","0.000","0.000","0.000","0.000","0.989","undefined","undefined","0.000","-","undefined","0.000","3.8","0.000"
"Truck","All Truck","1986","4291","0.279274","21.43524","18.18471","16.81223","20.14168","489.13227","529.05669","441.61562","3741.088","-","211.9418","123.3111","13.9083","0.619260","0.032962","34.29710","0.059","0.307","0.634","0.430","0.155","0.415","0.000","0.000","0.594","undefined","0.221","0.178","0.000","0.007","0.000","0.000","0.000","0.000","0.000","0.993","undefined","undefined","0.000","0.000","undefined","0.000","4.0","0.000"
"Truck","All Truck","1987","4039","0.271724","21.61145","18.28459","16.75628","20.44816","486.19972","530.54488","434.75655","3717.872","-","210.6509","131.1187","13.6357","0.651730","0.035081","34.22914","0.076","0.322","0.602","0.405","0.157","0.438","0.000","0.001","0.336","undefined","0.333","0.328","0.000","0.003","0.000","0.000","0.000","0.000","0.000","0.997","undefined","undefined","0.000","0.000","undefined","0.000","4.0","0.000"
"Truck","All Truck","1988","4450","0.290948","21.14986","17.84859","16.22555","20.12653","498.05145","547.87398","441.67903","3849.867","-","227.7143","141.2671","13.3466","0.648670","0.036492","34.54484","0.092","0.341","0.567","0.358","0.117","0.525","0.000","0.000","0.124","undefined","0.432","0.443","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","undefined","undefined","0.000","0.000","undefined","0.000","4.1","0.000"
"Truck","All Truck","1989","4327","0.299398","20.86162","17.55009","15.91868","19.78756","506.49258","558.40091","449.21999","3931.676","-","234.2069","146.2200","12.6700","0.652581","0.037096","34.72357","0.101","0.328","0.571","0.328","0.108","0.564","0.000","0.000","0.065","undefined","0.459","0.475","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","undefined","undefined","0.000","0.000","undefined","0.000","4.1","0.000"
"Truck","All Truck","1990","3740","0.296462","20.70056","17.37636","15.61965","19.77130","511.55886","569.09429","449.59082","4013.663","-","237.3827","151.2622","11.7786","0.666763","0.037678","35.10389","0.158","0.318","0.524","0.281","0.044","0.675","0.000","0.000","0.038","undefined","0.550","0.409","0.000","0.002","0.000","0.000","0.000","0.000","0.000","0.998","undefined","undefined","0.000","0.000","undefined","0.000","4.1","0.000"
"Truck","All Truck","1991","3825","0.304246","21.22717","17.76132","15.90708","20.24081","500.45833","558.79663","439.15081","3960.869","-","228.9024","150.2386","11.7952","0.681293","0.037907","35.35967","0.103","0.373","0.523","0.315","0.017","0.668","0.000","0.000","0.017","undefined","0.553","0.428","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.000","undefined","0.000","4.2","0.000"
"Truck","All Truck","1992","3822","0.313983","20.77540","17.34505","15.43754","19.86345","512.42228","575.73986","447.45337","4077.522","-","235.5914","154.8598","11.5213","0.682019","0.038044","35.53996","0.145","0.334","0.521","0.275","0.012","0.713","0.000","0.000","0.016","undefined","0.657","0.326","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","undefined","undefined","0.000","0.000","undefined","0.000","4.2","0.000"
"Truck","All Truck","1993","4281","0.324093","21.03671","17.51282","15.51064","20.11366","507.45679","572.96166","441.83904","4098.419","-","235.1081","160.1983","10.5919","0.704653","0.039144","35.98693","0.168","0.327","0.506","0.247","0.011","0.742","0.000","0.000","0.010","undefined","0.715","0.275","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.000","undefined","0.000","4.2","0.000"
"Truck","All Truck","1994","5378","0.380765","20.69867","17.17211","15.22414","19.62672","517.52519","583.74400","452.80102","4148.771","-","241.2276","166.4252","10.3580","0.712927","0.040107","35.80352","0.138","0.392","0.470","0.237","0.010","0.753","0.000","0.000","0.004","undefined","0.762","0.234","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.052","undefined","0.000","4.2","0.000"
"Truck","All Truck","1995","5529","0.365065","20.47962","16.95219","14.94424","19.44650","524.23891","594.67719","456.99746","4201.098","-","245.4014","167.6403","10.6079","0.711911","0.039987","35.82291","0.184","0.423","0.393","0.207","0.009","0.785","0.000","0.000","0.000","undefined","0.794","0.206","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","undefined","undefined","0.000","0.080","undefined","0.000","4.2","0.000"
"Truck","All Truck","1996","4967","0.377890","20.76669","17.15010","15.00609","19.78639","518.25065","592.29526","449.20121","4254.760","-","245.0014","179.4102","10.7320","0.754507","0.042113","36.70452","0.209","0.392","0.398","0.156","0.010","0.834","0.000","0.000","0.000","undefined","0.999","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.000","0.999","0.001","undefined","0.000","0.112","undefined","0.000","4.1","0.000"
"Truck","All Truck","1997","5762","0.398579","20.45866","16.84238","14.73071","19.37028","527.68181","603.32525","458.81769","4393.927","-","251.2510","188.9698","10.5070","0.769146","0.042841","37.10062","0.142","0.452","0.406","0.141","0.001","0.858","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.111","undefined","0.000","4.2","0.000"
"Truck","All Truck","1998","6030","0.417157","20.78355","17.06881","14.82634","19.72156","520.67477","599.42595","450.63895","4316.950","-","243.5377","188.0681","10.7482","0.794058","0.043460","36.99017","0.193","0.451","0.355","0.136","0.006","0.858","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.148","undefined","0.000","4.2","0.000"
"Truck","All Truck","1999","6350","0.417347","20.30755","16.62228","14.45643","19.10792","534.64475","614.74476","465.09568","4456.774","-","251.7243","199.3054","10.5254","0.811289","0.044576","37.11527","0.175","0.481","0.344","0.092","0.004","0.904","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.157","undefined","0.000","4.1","0.000"
"Truck","All Truck","2000","6829","0.412110","20.66217","16.83964","14.65487","19.27593","527.74294","606.41966","461.04121","4420.970","-","244.8509","199.0925","10.0693","0.829961","0.044837","37.31668","0.200","0.463","0.338","0.082","0.003","0.915","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.186","0.046","0.000","4.1","0.000"
"Truck","All Truck","2001","6458","0.413811","20.32702","16.51239","14.36991","18.83792","538.20191","618.44488","471.76111","4542.719","-","248.7401","211.8690","9.6217","0.873181","0.046529","37.62458","0.163","0.488","0.348","0.063","0.003","0.934","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.259","0.093","0.000","4.2","0.000"
"Truck","All Truck","2002","7211","0.447506","20.33706","16.48031","14.26903","18.84264","539.24945","622.81737","471.64316","4612.207","-","248.7436","222.8351","9.5260","0.910629","0.048212","38.10469","0.154","0.516","0.331","0.047","0.003","0.949","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","undefined","0.000","0.328","0.160","0.000","4.2","0.000"
"Truck","All Truck","2003","7277","0.461367","20.65170","16.68234","14.38302","19.09498","532.71917","617.88131","465.41036","4654.564","-","248.3667","224.4289","9.4474","0.919839","0.048095","38.86679","0.154","0.504","0.341","0.046","0.003","0.944","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.002","undefined","0.000","0.346","0.197","0.000","4.3","0.006"
"Truck","All Truck","2004","7533","0.479553","20.47738","16.50950","14.15243","18.94614","538.30200","627.95582","469.07145","4782.648","-","257.5875","239.6558","9.1623","0.945541","0.050045","39.50850","0.125","0.565","0.310","0.035","0.003","0.956","0.000","0.000","0.000","undefined","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.008","undefined","0.000","0.462","0.329","0.000","4.4","0.006"
"Truck","All Truck","2005","7053","0.443795","21.02209","16.89862","14.39415","19.45181","525.97200","617.48456","456.93622","4762.950","-","251.2007","241.6952","9.0517","0.976414","0.050613","40.32149","0.201","0.522","0.277","0.029","0.000","0.953","0.001","0.000","0.000","undefined","0.999","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.001","0.998","0.007","undefined","0.005","0.511","0.412","0.000","4.5","0.017"
"Truck","All Truck","2006","6360","0.421066","21.38397","17.16932","14.64863","19.73060","517.68289","606.76083","450.48375","4758.224","-","247.0039","239.8453","9.1164","0.984666","0.050272","41.01286","0.189","0.531","0.280","0.033","0.000","0.937","0.015","0.000","0.000","undefined","0.999","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.015","0.984","0.006","undefined","0.059","0.584","0.515","0.008","4.6","0.016"
"Truck","All Truck","2007","6275","0.410766","21.60079","17.35129","14.76118","19.99850","512.26648","602.15007","444.45956","4871.283","-","252.9599","253.8586","8.9841","1.019908","0.051892","42.33170","0.161","0.555","0.284","0.026","0.000","0.938","0.007","0.000","0.000","undefined","0.999","0.000","0.000","0.001","0.000","0.000","0.000","0.000","0.008","0.991","0.010","undefined","0.164","0.533","0.487","0.010","4.7","0.029"
"Truck","All Truck","2008","5656","0.406943","22.18455","17.80566","15.13308","20.54251","499.26062","587.42779","432.74855","4837.016","54.02526","246.2858","254.2462","9.0206","1.046136","0.052182","43.20916","0.184","0.568","0.248","0.022","0.000","0.941","0.013","0.000","0.000","0.011","0.987","0.000","0.000","0.002","0.000","0.000","0.000","0.000","0.013","0.985","0.010","undefined","0.135","0.595","0.516","0.012","4.8","0.023"
"Truck","All Truck","2009","3071","0.329697","23.11634","18.52504","15.73258","21.38903","479.93722","565.12572","415.67221","4752.972","53.81424","235.8984","251.8775","8.7051","1.089256","0.052664","44.09765","0.210","0.585","0.205","0.020","0.000","0.920","0.009","0.000","0.000","0.042","0.954","0.000","0.000","0.003","0.000","0.000","0.000","0.000","0.009","0.988","0.017","undefined","0.183","0.667","0.560","0.016","5.2","0.051"
"Truck","All Truck","2010","4141","0.372499","23.43309","18.76570","15.94241","21.65931","473.79406","557.70201","410.49508","4784.495","53.79389","237.2710","253.1402","8.7622","1.086900","0.052571","44.99755","0.209","0.610","0.180","0.018","0.004","0.919","0.008","0.000","0.000","0.068","0.929","0.000","0.000","0.004","0.000","0.000","0.000","0.000","0.009","0.988","0.018","undefined","0.138","0.715","0.705","0.019","5.4","0.051"
