"Function","Attribute","Value","Type"
"fleet_technology_market_share_proj_f","market_share_adj_size_mdl",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_techno",,"External"
"fleet_technology_market_share_proj_f","market_share_adj_start_yr",,"External"
"fleet_technology_market_share_proj_f","aeo_scen",,"External"
"fleet_technology_market_share_proj_f","last_yr",,"External"
"fleet_technology_market_share_proj_f","fuel_matching_option",,"External"
"fleet_vint_stock_f","first_yr",,"External"
"fleet_vint_stock_f","last_yr",,"External"
"fleet_vint_stock_f","fleet_vint_procedure",,"External"
"fleet_vint_stock_f","fleet_tot_stock",,"External"
"fleet_vint_stock_f","aeo_scen",,"External"
"fleet_vint_stock_f","fleet_composition_source",,"External"
"fleet_vint_stock_f","scenario_id",,"External"
"fleet_vint_stock_f","first_proj_yr",,"External"
"fleet_vint_stock_f","fleet_id",,"External"
"fleet_vint_stock_f","years_simulation",,"External"
"fleet_vint_stock_f","fuel_matching_option",,"External"
"fleet_vint_stock_f","benefits_per_ev_year",,"External"
"fleet_vint_stock_initialization_f","fleet","","Internal"
"fleet_vint_stock_initialization_f","first_proj_yr",,"External"
"fleet_vint_stock_reg_f","aeo_scen",,"External"
"fleet_vint_stock_reg_f","survival_rate_mdl",,"External"
"fleet_vint_stock_reg_f","first_yr",,"External"
"fleet_vint_stock_reg_f","last_yr",,"External"
"fleet_vint_stock_update_with_sales_f","fleet","","Internal"
"fleet_vint_stock_update_with_sales_f","year","","Internal"
"fleet_vint_stock_update_with_sales_f","fleet_stock_adj",,"External"
"fleet_vint_stock_update_with_sales_f","first_proj_yr",,"External"
"fleet_vint_stock_update_with_stock_f","fleet","","Internal"
"fleet_vint_stock_update_with_stock_f","year","","Internal"
"fleet_vint_stock_update_with_stock_f","first_proj_yr",,"External"
"fleet_vkt_f","first_yr",,"External"
"fleet_vkt_f","last_yr",,"External"
"fleet_vkt_f","vkt_mdl",,"External"
"fleet_vkt_f","vkt_hybrid_factor",,"External"
"fleet_vkt_f","vkt_growth_mdl",,"External"
"fleet_vkt_f","vkt_growth_rate",,"External"
"fleet_vkt_f","fuel_matching_option",,"External"
"fleet_vkt_f","fleet_id",,"External"
"fleet_vkt_f","use_res_env","y","Internal"
"fleet_vkt_reg_f","first_yr",,"External"
"fleet_vkt_reg_f","last_yr",,"External"
"fleet_vkt_reg_f","vkt_growth_mdl",,"External"
"fuel_price_f","aeo_scen",,"External"
"fuel_price_f","first_yr",,"External"
"fuel_price_f","last_yr",,"External"
"fuel_wtp_ef_f","fleet_fuel_usage_tot_state","","Internal"
"fuel_wtp_ef_f","ng_demand_fleet","","Internal"
"fuel_wtp_ef_f","ng_demand_background","","Internal"
"fuel_wtp_ef_f","ng_frac_usage","","Internal"
"fuel_wtp_ef_f","first_proj_yr",,"External"
"fuel_wtp_ef_f","share_diesel_ldv_cons",,"External"
"fuel_wtp_ef_f","share_gasoline_ldv_cons",,"External"
"fuel_wtp_ef_f","share_ldv_crude_oil",,"External"
